,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,N,LW,1,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,5,1,0,0,/en/matches/74125d47/Arsenal-Manchester-United-September-3-2023-Premier-League
1,2023-09-20,Wed,Champions Lg,Group stage,Home,W 4–0,eng Arsenal,nl PSV Eindhoven,N,LW,33,0,1,0,0,3,0,0,0,32,0,0,0,0.2,0.2,0.1,5,1,24,25,96.0,3,28,4,2,1,/en/matches/9928de4e/Arsenal-PSV-Eindhoven-September-20-2023-Champions-League
2,2023-09-24,Sun,Premier League,Matchweek 6,Home,D 2–2,Arsenal,Tottenham,N,"LW,RW",14,0,0,0,0,1,0,0,0,14,0,0,0,0.0,0.0,0.1,1,0,8,11,72.7,0,11,1,1,0,/en/matches/08947a10/North-London-Derby-Arsenal-Tottenham-Hotspur-September-24-2023-Premier-League
3,2023-09-27,Wed,EFL Cup,Third round,Away,W 1–0,Arsenal,Brentford,Y,FW,81,1,0,0,0,2,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/80d68b2d/Brentford-Arsenal-September-27-2023-EFL-Cup
4,2023-09-30,Sat,Premier League,Matchweek 7,Away,W 4–0,Arsenal,Bournemouth,N,LW,22,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.4,1,0,5,5,100.0,0,4,0,0,0,/en/matches/8de4aca0/Bournemouth-Arsenal-September-30-2023-Premier-League
5,2023-10-03,Tue,Champions Lg,Group stage,Away,L 1–2,eng Arsenal,fr Lens,N,LW,21,0,0,0,0,1,0,0,0,20,0,0,0,0.1,0.1,0.1,3,0,12,12,100.0,1,14,0,2,1,/en/matches/dba6efee/Lens-Arsenal-October-3-2023-Champions-League
6,2023-10-28,Sat,Premier League,Matchweek 10,Home,W 5–0,Arsenal,Sheffield Utd,N,RW,18,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,7,7,100.0,0,6,0,2,0,/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League
7,2023-11-01,Wed,EFL Cup,Fourth round,Away,L 1–3,Arsenal,West Ham,Y,FW,65,0,0,0,0,3,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/7fbf0cfb/West-Ham-United-Arsenal-November-1-2023-EFL-Cup
8,2023-11-08,Wed,Champions Lg,Group stage,Home,W 2–0,eng Arsenal,es Sevilla,N,LW,10,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0.0,0.0,0,0,2,2,100.0,0,4,0,1,0,/en/matches/2e9fad19/Arsenal-Sevilla-November-8-2023-Champions-League
9,2023-11-11,Sat,Premier League,Matchweek 12,Home,W 3–1,Arsenal,Burnley,N,"CM,RW",10,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,/en/matches/2cb4e4dc/Arsenal-Burnley-November-11-2023-Premier-League
