,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2019-09-10,Tue,Friendlies (M),Friendlies (M),Home,W 4–0,ar Argentina,mx Mexico,Y,CB,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/f9e24bbb/Argentina-Mexico-September-10-2019-Friendlies-M
1,2019-09-19,Thu,Europa Lg,Group stage,Home,W 1–0,eng Manchester Utd,kz Astana FK,Y,LB,77,0,0,0,0,3,0,0,0,82,0,1,1,0.1,0.1,0.8,3,0,50,70,71.4,10,40,1,0,0,/en/matches/e824741d/Manchester-United-Astana-FK-September-19-2019-Europa-League
2,2019-09-25,Wed,EFL Cup,Third round,Home,D 1 (5)–1 (3),Manchester Utd,Rochdale,Y,LB,120,0,0,0,0,7,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/242a13f3/Manchester-United-Rochdale-September-25-2019-EFL-Cup
3,2019-10-03,Thu,Europa Lg,Group stage,Away,D 0–0,eng Manchester Utd,nl AZ Alkmaar,Y,CB,90,0,0,0,0,0,0,0,0,79,0,0,1,0.0,0.0,0.0,0,0,56,69,81.2,4,48,0,1,1,/en/matches/c7f9121a/AZ-Alkmaar-Manchester-United-October-3-2019-Europa-League
4,2019-10-06,Sun,Premier League,Matchweek 8,Away,L 0–1,Manchester Utd,Newcastle Utd,N,CB,31,0,0,0,0,1,0,1,0,25,2,0,0,0.2,0.2,0.0,0,0,18,21,85.7,4,15,0,0,0,/en/matches/e4a80056/Newcastle-United-Manchester-United-October-6-2019-Premier-League
5,2019-10-09,Wed,Friendlies (M),Friendlies (M),Away,D 2–2,ar Argentina,de Germany,Y,CB,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/7cc5b66e/Germany-Argentina-October-9-2019-Friendlies-M
6,2019-10-20,Sun,Premier League,Matchweek 9,Home,D 1–1,Manchester Utd,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,46,1,0,1,0.0,0.0,0.0,0,0,21,37,56.8,2,17,0,1,0,/en/matches/95c3f0c8/North-West-Derby-Manchester-United-Liverpool-October-20-2019-Premier-League
7,2019-10-24,Thu,Europa Lg,Group stage,Away,W 1–0,eng Manchester Utd,rs Partizan,Y,CB,90,0,0,0,0,0,0,0,0,80,1,2,0,0.0,0.0,0.0,0,0,64,74,86.5,9,52,0,1,1,/en/matches/27ad0187/Partizan-Manchester-United-October-24-2019-Europa-League
8,2019-10-30,Wed,EFL Cup,Fourth round,Away,W 2–1,Manchester Utd,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/eb80841c/Chelsea-Manchester-United-October-30-2019-EFL-Cup
9,2019-11-07,Thu,Europa Lg,Group stage,Home,W 3–0,eng Manchester Utd,rs Partizan,Y,CB,90,0,0,0,0,0,0,0,0,100,0,2,2,0.0,0.0,0.0,0,0,85,95,89.5,4,56,1,1,1,/en/matches/879dcaa5/Manchester-United-Partizan-November-7-2019-Europa-League
10,2019-11-10,Sun,Premier League,Matchweek 12,Home,W 3–1,Manchester Utd,Brighton,N,LB,1,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,/en/matches/014bbabe/Manchester-United-Brighton-and-Hove-Albion-November-10-2019-Premier-League
11,2020-02-17,Mon,Primera Div,Matchweek 20,Home,L 1–2,Estudiantes,Defensa y Just,Y,CB,90,0,1,0,0,3,0,1,0,85,2,3,0,0.7,0.7,0.3,2,1,54,76,71.1,3,52,2,1,1,/en/matches/d7df1a26/Estudiantes-Defensa-y-Just-February-17-2020-Superliga-Argentina
