,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2020-09-21,Mon,Premier League,Matchweek 2,Home,W 1–0,Aston Villa,Sheffield Utd,Y,LB,90,0,0,0,0,0,0,1,0,79,1,0,0,0.0,0.0,0.0,4,1,58,73,79.5,7,51,3,0,0,/en/matches/98b4b5b6/Aston-Villa-Sheffield-United-September-21-2020-Premier-League
1,2020-09-28,Mon,Premier League,Matchweek 3,Away,W 3–0,Aston Villa,Fulham,Y,LB,90,0,0,0,0,0,0,1,0,61,1,2,0,0.0,0.0,0.0,2,0,41,52,78.8,5,12,1,0,0,/en/matches/6b258be0/Fulham-Aston-Villa-September-28-2020-Premier-League
2,2020-10-04,Sun,Premier League,Matchweek 4,Home,W 7–2,Aston Villa,Liverpool,Y,LB,90,0,0,0,0,0,0,0,0,37,0,2,0,0.0,0.0,0.0,0,0,21,25,84.0,3,8,0,1,1,/en/matches/14a7771b/Aston-Villa-Liverpool-October-4-2020-Premier-League
3,2020-10-18,Sun,Premier League,Matchweek 5,Away,W 1–0,Aston Villa,Leicester City,Y,LB,90,0,0,0,0,2,0,0,0,63,2,2,1,0.1,0.1,0.0,3,1,34,52,65.4,6,16,0,0,0,/en/matches/7751d8c1/Leicester-City-Aston-Villa-October-18-2020-Premier-League
4,2020-10-23,Fri,Premier League,Matchweek 6,Home,L 0–3,Aston Villa,Leeds United,Y,LB,90,0,0,0,0,1,0,0,0,43,1,2,1,0.1,0.1,0.0,1,0,20,34,58.8,3,23,0,1,0,/en/matches/873ab775/Aston-Villa-Leeds-United-October-23-2020-Premier-League
5,2020-11-01,Sun,Premier League,Matchweek 7,Home,L 3–4,Aston Villa,Southampton,Y,LB,90,0,0,0,0,0,0,0,0,66,2,0,0,0.0,0.0,0.2,5,0,44,60,73.3,10,32,2,1,1,/en/matches/235264ac/Aston-Villa-Southampton-November-1-2020-Premier-League
6,2020-11-08,Sun,Premier League,Matchweek 8,Away,W 3–0,Aston Villa,Arsenal,Y,LB,90,0,0,0,0,0,0,0,0,58,1,1,0,0.0,0.0,0.0,1,0,38,50,76.0,5,27,0,0,0,/en/matches/90fd3597/Arsenal-Aston-Villa-November-8-2020-Premier-League
7,2020-11-21,Sat,Premier League,Matchweek 9,Home,L 1–2,Aston Villa,Brighton,Y,LB,90,0,0,0,0,0,0,1,0,67,1,1,1,0.0,0.0,0.0,2,1,47,58,81.0,8,41,1,1,0,/en/matches/dea0df40/Aston-Villa-Brighton-and-Hove-Albion-November-21-2020-Premier-League
8,2020-11-30,Mon,Premier League,Matchweek 10,Away,L 1–2,Aston Villa,West Ham,Y,LB,90,0,0,0,0,0,0,0,0,67,1,1,1,0.0,0.0,0.2,3,0,48,63,76.2,6,32,1,0,0,/en/matches/2f67603c/West-Ham-United-Aston-Villa-November-30-2020-Premier-League
9,2020-12-12,Sat,Premier League,Matchweek 12,Away,W 1–0,Aston Villa,Wolves,Y,LB,90,0,0,0,0,0,0,1,0,62,2,3,1,0.0,0.0,0.0,1,0,25,48,52.1,6,32,0,0,0,/en/matches/f809a014/Wolverhampton-Wanderers-Aston-Villa-December-12-2020-Premier-League
10,2020-12-17,Thu,Premier League,Matchweek 13,Home,D 0–0,Aston Villa,Burnley,Y,LB,90,0,0,0,0,0,0,0,0,59,0,1,0,0.0,0.0,0.1,1,0,40,56,71.4,4,19,0,1,1,/en/matches/5d89f60c/Aston-Villa-Burnley-December-17-2020-Premier-League
11,2020-12-20,Sun,Premier League,Matchweek 14,Away,W 3–0,Aston Villa,West Brom,Y,LB,90,0,0,0,0,0,0,0,0,90,2,3,0,0.0,0.0,0.1,2,0,62,83,74.7,7,51,0,0,0,/en/matches/4bbe55ff/West-Bromwich-Albion-Aston-Villa-December-20-2020-Premier-League
12,2020-12-26,Sat,Premier League,Matchweek 15,Home,W 3–0,Aston Villa,Crystal Palace,Y,LB,90,0,0,0,0,0,0,0,0,50,6,2,0,0.0,0.0,0.0,0,0,27,38,71.1,5,21,0,1,1,/en/matches/537b6ef8/Aston-Villa-Crystal-Palace-December-26-2020-Premier-League
13,2020-12-28,Mon,Premier League,Matchweek 16,Away,D 1–1,Aston Villa,Chelsea,Y,LB,90,0,0,0,0,0,0,0,0,66,2,1,0,0.0,0.0,0.0,1,0,42,57,73.7,9,25,0,0,0,/en/matches/ac7d1071/Chelsea-Aston-Villa-December-28-2020-Premier-League
14,2021-01-01,Fri,Premier League,Matchweek 17,Away,L 1–2,Aston Villa,Manchester Utd,Y,LB,90,0,0,0,0,0,0,0,0,75,1,3,1,0.0,0.0,0.0,1,0,55,71,77.5,6,44,0,0,0,/en/matches/0ae3a66d/Manchester-United-Aston-Villa-January-1-2021-Premier-League
15,2021-01-20,Wed,Premier League,Matchweek 1,Away,L 0–2,Aston Villa,Manchester City,Y,LB,74,0,0,0,0,0,0,0,0,47,5,4,1,0.0,0.0,0.0,0,0,23,33,69.7,3,18,0,0,0,/en/matches/c9710420/Manchester-City-Aston-Villa-January-20-2021-Premier-League
16,2021-01-23,Sat,Premier League,Matchweek 11,Home,W 2–0,Aston Villa,Newcastle Utd,Y,LB,90,0,0,0,0,1,1,0,0,86,2,3,4,0.0,0.0,0.0,1,1,63,73,86.3,5,58,1,0,0,/en/matches/b2143993/Aston-Villa-Newcastle-United-January-23-2021-Premier-League
17,2021-01-27,Wed,Premier League,Matchweek 20,Away,L 2–3,Aston Villa,Burnley,Y,LB,90,0,1,0,0,1,1,0,0,61,1,0,1,0.0,0.0,0.4,4,1,41,54,75.9,4,21,0,1,1,/en/matches/f45d57b7/Burnley-Aston-Villa-January-27-2021-Premier-League
18,2021-01-30,Sat,Premier League,Matchweek 21,Away,W 1–0,Aston Villa,Southampton,Y,LB,90,0,0,0,0,0,0,0,0,62,9,2,0,0.0,0.0,0.1,3,1,32,47,68.1,7,23,1,1,0,/en/matches/10d13e5b/Southampton-Aston-Villa-January-30-2021-Premier-League
19,2021-02-03,Wed,Premier League,Matchweek 22,Home,L 1–3,Aston Villa,West Ham,Y,LB,90,0,0,0,0,0,0,0,0,76,1,0,2,0.0,0.0,0.0,1,0,54,73,74.0,11,31,1,1,1,/en/matches/8f9d1856/Aston-Villa-West-Ham-United-February-3-2021-Premier-League
20,2021-02-06,Sat,Premier League,Matchweek 23,Home,W 1–0,Aston Villa,Arsenal,Y,LB,90,0,0,0,0,0,0,0,0,56,5,1,3,0.0,0.0,0.1,1,0,31,43,72.1,3,20,0,1,0,/en/matches/224bcfc4/Aston-Villa-Arsenal-February-6-2021-Premier-League
21,2021-02-13,Sat,Premier League,Matchweek 24,Away,D 0–0,Aston Villa,Brighton,Y,LB,90,0,0,0,0,0,0,0,0,81,2,3,3,0.0,0.0,0.0,1,0,53,65,81.5,11,45,1,1,1,/en/matches/c7922348/Brighton-and-Hove-Albion-Aston-Villa-February-13-2021-Premier-League
22,2021-02-21,Sun,Premier League,Matchweek 25,Home,L 1–2,Aston Villa,Leicester City,Y,LB,90,0,0,0,0,0,0,0,0,92,3,2,1,0.0,0.0,0.2,3,0,64,84,76.2,9,33,1,1,1,/en/matches/2c6f8c0e/Aston-Villa-Leicester-City-February-21-2021-Premier-League
23,2021-02-27,Sat,Premier League,Matchweek 26,Away,W 1–0,Aston Villa,Leeds United,Y,LB,90,0,0,0,0,0,0,1,0,52,3,0,2,0.0,0.0,0.0,0,0,19,38,50.0,1,10,0,0,0,/en/matches/70056c3b/Leeds-United-Aston-Villa-February-27-2021-Premier-League
24,2021-03-03,Wed,Premier League,Matchweek 29,Away,L 0–1,Aston Villa,Sheffield Utd,Y,LB,90,0,0,0,0,0,0,0,0,92,0,0,1,0.0,0.0,0.0,1,0,67,87,77.0,6,66,2,1,1,/en/matches/3a9c1c4d/Sheffield-United-Aston-Villa-March-3-2021-Premier-League
25,2021-03-06,Sat,Premier League,Matchweek 27,Home,D 0–0,Aston Villa,Wolves,Y,LB,90,0,0,0,0,0,0,0,0,75,1,0,0,0.0,0.0,0.0,3,0,50,71,70.4,8,31,1,1,1,/en/matches/e52c1e46/Aston-Villa-Wolverhampton-Wanderers-March-6-2021-Premier-League
26,2021-03-12,Fri,Premier League,Matchweek 28,Away,D 1–1,Aston Villa,Newcastle Utd,Y,LB,90,0,0,0,0,0,0,0,0,77,2,1,0,0.0,0.0,0.2,4,0,55,70,78.6,6,33,1,0,0,/en/matches/5ac8e391/Newcastle-United-Aston-Villa-March-12-2021-Premier-League
27,2021-03-21,Sun,Premier League,Matchweek 18,Home,L 0–2,Aston Villa,Tottenham,Y,LB,90,0,0,0,0,0,0,1,0,63,4,1,0,0.0,0.0,0.1,4,0,43,60,71.7,12,37,1,0,0,/en/matches/faf3633c/Aston-Villa-Tottenham-Hotspur-March-21-2021-Premier-League
28,2021-04-04,Sun,Premier League,Matchweek 30,Home,W 3–1,Aston Villa,Fulham,Y,LB,90,0,0,0,0,0,0,0,0,66,1,2,1,0.0,0.0,0.0,2,1,43,58,74.1,2,32,2,1,0,/en/matches/a2d96ab5/Aston-Villa-Fulham-April-4-2021-Premier-League
