,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 4–1,Brighton,Luton Town,N,RW,17,1,0,0,0,1.0,1.0,0,0,9.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,6.0,6.0,100.0,0.0,5.0,0.0,1.0,0.0,/en/matches/56a137f7/Brighton-and-Hove-Albion-Luton-Town-August-12-2023-Premier-League,1.0,0.5
1,1,2023-08-26,Sat,Premier League,Matchweek 3,Home,L 1–3,Brighton,West Ham,N,RW,19,0,0,0,0,0.0,0.0,0,0,17.0,3.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,8.0,12.0,66.7,0.0,10.0,2.0,3.0,1.0,/en/matches/ba68d60c/Brighton-and-Hove-Albion-West-Ham-United-August-26-2023-Premier-League,0.0,0.5
2,2,2023-09-02,Sat,Premier League,Matchweek 4,Home,W 3–1,Brighton,Newcastle Utd,N,RM,2,0,0,0,0,1.0,0.0,0,0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,3.0,100.0,0.0,4.0,0.0,0.0,0.0,/en/matches/4f754e0a/Brighton-and-Hove-Albion-Newcastle-United-September-2-2023-Premier-League,1.0,0.5
3,3,2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Brighton,Manchester Utd,Y,RW,84,0,1,0,0,0.0,0.0,0,0,42.0,3.0,2.0,0.0,0.0,0.0,0.5,1.0,1.0,26.0,31.0,83.9,0.0,23.0,3.0,2.0,1.0,/en/matches/ddcf2857/Manchester-United-Brighton-and-Hove-Albion-September-16-2023-Premier-League,1.0,0.6666666666666666
4,4,2023-09-21,Thu,Europa Lg,Group stage,Home,L 2–3,eng Brighton,gr AEK Athens,N,LW,5,0,0,0,0,2.0,1.0,0,0,15.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,7.0,8.0,87.5,1.0,12.0,2.0,3.0,2.0,/en/matches/8aebde7a/Brighton-and-Hove-Albion-AEK-Athens-September-21-2023-Europa-League,0.0,0.6666666666666666
5,5,2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Brighton,Bournemouth,Y,"LW,RW",86,0,0,0,0,0.0,0.0,0,0,42.0,0.0,2.0,0.0,0.0,0.0,0.6,2.0,0.0,28.0,30.0,93.3,1.0,21.0,2.0,6.0,2.0,/en/matches/5593f16c/Brighton-and-Hove-Albion-Bournemouth-September-24-2023-Premier-League,1.0,0.6666666666666666
6,6,2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–6,Brighton,Aston Villa,N,RM,29,0,0,0,0,1.0,1.0,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,8.0,1.0,1.0,0.0,/en/matches/2df9a3a1/Aston-Villa-Brighton-and-Hove-Albion-September-30-2023-Premier-League,0.0,0.6666666666666666
7,7,2023-10-05,Thu,Europa Lg,Group stage,Away,D 2–2,eng Brighton,fr Marseille,N,RM,15,0,0,0,0,2.0,0.0,0,0,5.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,/en/matches/6e5bc2fb/Marseille-Brighton-and-Hove-Albion-October-5-2023-Europa-League,0.5,0.3333333333333333
8,8,2023-10-08,Sun,Premier League,Matchweek 8,Home,D 2–2,Brighton,Liverpool,Y,RW,90,1,0,0,0,2.0,2.0,0,0,29.0,4.0,2.0,1.0,0.4,0.4,0.0,3.0,1.0,7.0,13.0,53.8,1.0,13.0,2.0,9.0,3.0,/en/matches/3b1ec657/Brighton-and-Hove-Albion-Liverpool-October-8-2023-Premier-League,0.5,0.5
9,9,2023-10-14,Sat,Friendlies (M),Friendlies (M),Home,D 1–1,ci Côte d'Ivoire,ma Morocco,N,,25,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/2339884f/Cote-dIvoire-Morocco-October-14-2023-Friendlies-M,0.5,0.3333333333333333
10,10,2023-10-21,Sat,Premier League,Matchweek 9,Away,L 1–2,Brighton,Manchester City,Y,RW,90,0,0,0,0,0.0,0.0,0,0,33.0,0.0,2.0,3.0,0.0,0.0,0.1,1.0,0.0,22.0,25.0,88.0,3.0,19.0,0.0,2.0,0.0,/en/matches/b782a834/Manchester-City-Brighton-and-Hove-Albion-October-21-2023-Premier-League,0.0,0.5
11,11,2023-10-26,Thu,Europa Lg,Group stage,Home,W 2–0,eng Brighton,nl Ajax,Y,RM,90,0,1,0,0,1.0,0.0,0,0,34.0,1.0,0.0,0.0,0.1,0.1,0.2,2.0,1.0,21.0,23.0,91.3,2.0,27.0,2.0,4.0,2.0,/en/matches/cd2c07a6/Brighton-and-Hove-Albion-Ajax-October-26-2023-Europa-League,1.0,0.3333333333333333
