,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2023-08-12,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,Y,GK,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,9,24,37.5,0,9,0,0,0,/en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League
1,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,Y,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,17,32,53.1,0,13,0,0,0,/en/matches/44b9a07c/West-Ham-United-Chelsea-August-20-2023-Premier-League
2,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,14,33,42.4,0,14,0,0,0,/en/matches/ba68d60c/Brighton-and-Hove-Albion-West-Ham-United-August-26-2023-Premier-League
3,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,Y,GK,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,16,24,66.7,0,10,0,0,0,/en/matches/e929e225/Luton-Town-West-Ham-United-September-1-2023-Premier-League
4,2023-09-16,Sat,Premier League,Matchweek 5,Home,L 1–3,West Ham,Manchester City,Y,GK,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,20,21,95.2,0,15,0,0,0,/en/matches/64c0a6e2/West-Ham-United-Manchester-City-September-16-2023-Premier-League
5,2023-09-24,Sun,Premier League,Matchweek 6,Away,L 1–3,West Ham,Liverpool,Y,GK,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,21,33,63.6,0,15,0,0,0,/en/matches/90adf8b3/Liverpool-West-Ham-United-September-24-2023-Premier-League
6,2023-09-30,Sat,Premier League,Matchweek 7,Home,W 2–0,West Ham,Sheffield Utd,Y,GK,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,24,37,64.9,0,18,0,0,0,/en/matches/b82be6d7/West-Ham-United-Sheffield-United-September-30-2023-Premier-League
7,2023-10-08,Sun,Premier League,Matchweek 8,Home,D 2–2,West Ham,Newcastle Utd,Y,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,21,31,67.7,0,17,0,0,0,/en/matches/017c9ca5/West-Ham-United-Newcastle-United-October-8-2023-Premier-League
8,2023-10-22,Sun,Premier League,Matchweek 9,Away,L 1–4,West Ham,Aston Villa,Y,GK,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,16,18,88.9,0,12,0,0,0,/en/matches/7efcc598/Aston-Villa-West-Ham-United-October-22-2023-Premier-League
9,2023-10-26,Thu,Europa Lg,Group stage,Away,L 1–2,eng West Ham,gr Olympiacos,Y,GK,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,1,0,26,29,89.7,0,15,0,0,0,/en/matches/a945ca05/Olympiacos-West-Ham-United-October-26-2023-Europa-League
10,2023-10-29,Sun,Premier League,Matchweek 10,Home,L 0–1,West Ham,Everton,Y,GK,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,35,39,89.7,1,30,0,0,0,/en/matches/868a89be/West-Ham-United-Everton-October-29-2023-Premier-League
11,2023-11-04,Sat,Premier League,Matchweek 11,Away,L 2–3,West Ham,Brentford,Y,GK,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,12,24,50.0,0,10,0,0,0,/en/matches/3235dd6e/Brentford-West-Ham-United-November-4-2023-Premier-League
12,2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–2,West Ham,Nott'ham Forest,Y,GK,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,19,22,86.4,0,16,0,0,0,/en/matches/76b8e568/West-Ham-United-Nottingham-Forest-November-12-2023-Premier-League
