,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-11-27,Sat,Premier League,Matchweek 13,Away,L 0–4,Southampton,Liverpool,N,LB,3,0,0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,/en/matches/aa9b882d/Liverpool-Southampton-November-27-2021-Premier-League,0.0,0.6666666666666666,0.8452380952380952
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2021-12-01,Wed,Premier League,Matchweek 14,Home,D 2–2,Southampton,Leicester City,Y,LB,90,0,0,0,0,2.0,0.0,0,0,49.0,4.0,1.0,1.0,0.1,0.1,0.0,1.0,1.0,26.0,34.0,76.5,3.0,26.0,2.0,3.0,2.0,/en/matches/135f5959/Southampton-Leicester-City-December-1-2021-Premier-League,0.5,0.3333333333333333,0.6547619047619048
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2021-12-04,Sat,Premier League,Matchweek 15,Home,D 1–1,Southampton,Brighton,Y,LB,90,0,0,0,0,0.0,0.0,0,0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,41.0,70.7,4.0,25.0,3.0,2.0,1.0,/en/matches/27fd5d70/Southampton-Brighton-and-Hove-Albion-December-4-2021-Premier-League,0.5,0.1666666666666666,0.4047619047619047
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2021-12-11,Sat,Premier League,Matchweek 16,Away,L 0–3,Southampton,Arsenal,Y,LB,90,0,0,0,0,0.0,0.0,0,0,50.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,28.0,38.0,73.7,2.0,20.0,1.0,0.0,0.0,/en/matches/6a35f07c/Arsenal-Southampton-December-11-2021-Premier-League,0.0,0.3333333333333333,0.4285714285714285
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2021-12-15,Wed,Premier League,Matchweek 17,Away,D 2–2,Southampton,Crystal Palace,Y,LB,90,0,1,0,0,0.0,0.0,0,0,49.0,8.0,2.0,0.0,0.0,0.0,0.1,3.0,1.0,19.0,29.0,65.5,2.0,15.0,2.0,1.0,0.0,/en/matches/9ebb60f0/Crystal-Palace-Southampton-December-15-2021-Premier-League,0.5,0.3333333333333333,0.369047619047619
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2021-12-26,Sun,Premier League,Matchweek 19,Away,W 3–2,Southampton,West Ham,Y,LB,90,0,1,0,0,1.0,0.0,1,0,48.0,3.0,3.0,0.0,0.1,0.1,0.1,5.0,2.0,29.0,36.0,80.6,5.0,22.0,6.0,1.0,1.0,/en/matches/36a056cf/West-Ham-United-Southampton-December-26-2021-Premier-League,1.0,0.3333333333333333,0.2499999999999999
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2021-12-28,Tue,Premier League,Matchweek 20,Home,D 1–1,Southampton,Tottenham,Y,RB,90,0,0,0,0,0.0,0.0,1,0,36.0,1.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,17.0,25.0,68.0,0.0,17.0,3.0,1.0,0.0,/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League,0.5,0.5,0.7976190476190476
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2022-01-22,Sat,Premier League,Matchweek 23,Home,D 1–1,Southampton,Manchester City,Y,RB,90,1,0,0,0,1.0,1.0,0,0,30.0,2.0,0.0,1.0,0.1,0.1,0.0,1.0,1.0,15.0,20.0,75.0,1.0,12.0,1.0,1.0,0.0,/en/matches/9bfa5945/Southampton-Manchester-City-January-22-2022-Premier-League,0.5,0.6666666666666666,0.5
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2022-02-05,Sat,FA Cup,Fourth round proper,Home,W 2–1,Southampton,Coventry City,N,,75,1,0,0,0,1.0,1.0,1,0,,,2.0,,,,,,,,,,,,,,,/en/matches/ccccb0d1/Southampton-Coventry-City-February-5-2022-FA-Cup,1.0,0.6666666666666666,0.5
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2022-02-09,Wed,Premier League,Matchweek 24,Away,W 3–2,Southampton,Tottenham,Y,RB,90,0,0,0,0,0.0,0.0,0,0,67.0,1.0,0.0,1.0,0.0,0.0,0.4,5.0,2.0,45.0,58.0,77.6,5.0,44.0,3.0,1.0,0.0,/en/matches/0613df22/Tottenham-Hotspur-Southampton-February-9-2022-Premier-League,1.0,0.6666666666666666,0.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2022-02-12,Sat,Premier League,Matchweek 25,Away,D 1–1,Southampton,Manchester Utd,Y,"RB,RM",90,0,0,0,0,1.0,0.0,0,0,68.0,3.0,3.0,0.0,0.0,0.0,0.1,2.0,0.0,43.0,56.0,76.8,2.0,44.0,6.0,6.0,4.0,/en/matches/d15dca2c/Manchester-United-Southampton-February-12-2022-Premier-League,0.5,0.8333333333333334,0.5
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2022-02-19,Sat,Premier League,Matchweek 26,Home,W 2–0,Southampton,Everton,Y,LB,90,0,0,0,0,4.0,2.0,0,0,74.0,2.0,1.0,0.0,0.2,0.2,0.1,4.0,0.0,50.0,61.0,82.0,7.0,45.0,8.0,7.0,5.0,/en/matches/53cc3dbd/Southampton-Everton-February-19-2022-Premier-League,1.0,0.8333333333333334,0.5
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2022-02-25,Fri,Premier League,Matchweek 27,Home,W 2–0,Southampton,Norwich City,Y,"LB,WB",90,0,0,0,0,3.0,2.0,0,0,85.0,2.0,1.0,0.0,0.2,0.2,0.1,5.0,0.0,56.0,73.0,76.7,6.0,46.0,8.0,8.0,6.0,/en/matches/17c79d36/Southampton-Norwich-City-February-25-2022-Premier-League,1.0,0.8333333333333334,0.5
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2022-03-02,Wed,FA Cup,Fifth round proper,Home,W 3–1,Southampton,West Ham,Y,RB,57,0,1,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/c29212bb/Southampton-West-Ham-United-March-2-2022-FA-Cup,1.0,0.8333333333333334,0.5
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2022-03-05,Sat,Premier League,Matchweek 28,Away,L 0–4,Southampton,Aston Villa,N,WB,33,0,0,0,0,0.0,0.0,0,0,25.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,75.0,2.0,15.0,1.0,3.0,3.0,/en/matches/1aa40463/Aston-Villa-Southampton-March-5-2022-Premier-League,0.0,1.0,0.5
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2022-03-10,Thu,Premier League,Matchweek 21,Home,L 1–2,Southampton,Newcastle Utd,Y,"LB,LM",90,0,0,0,0,0.0,0.0,0,0,93.0,0.0,2.0,1.0,0.0,0.0,0.3,4.0,0.0,71.0,84.0,84.5,12.0,64.0,8.0,3.0,1.0,/en/matches/2d6fb488/Southampton-Newcastle-United-March-10-2022-Premier-League,0.0,0.6666666666666666,0.5
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2022-03-13,Sun,Premier League,Matchweek 29,Home,L 1–2,Southampton,Watford,Y,RB,90,0,0,0,0,1.0,1.0,0,0,66.0,3.0,1.0,0.0,0.1,0.1,0.0,3.0,0.0,43.0,53.0,81.1,11.0,33.0,6.0,5.0,3.0,/en/matches/2c627dd8/Southampton-Watford-March-13-2022-Premier-League,0.0,0.3333333333333333,0.5
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2022-03-20,Sun,FA Cup,Quarter-finals,Home,L 1–4,Southampton,Manchester City,Y,LB,90,0,0,0,0,3.0,0.0,0,0,,,3.0,,,,,,,,,,,,,,,/en/matches/776bdea8/Southampton-Manchester-City-March-20-2022-FA-Cup,0.0,0.0,0.5
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2022-03-26,Sat,Friendlies (M),Friendlies (M),Neutral,W 2–1,eng England,ch Switzerland,Y,DM,61,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/3a98668d/England-Switzerland-March-26-2022-Friendlies-M,1.0,0.0,0.5
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2022-03-29,Tue,Friendlies (M),Friendlies (M),Neutral,W 3–0,eng England,ci Côte d'Ivoire,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/ed214e41/England-Cote-dIvoire-March-29-2022-Friendlies-M,1.0,0.3333333333333333,0.5
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2022-04-02,Sat,Premier League,Matchweek 31,Away,D 1–1,Southampton,Leeds United,Y,LB,90,0,0,0,0,2.0,1.0,0,0,58.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,22.0,34.0,64.7,2.0,30.0,8.0,13.0,7.0,/en/matches/abc88be4/Leeds-United-Southampton-April-2-2022-Premier-League,0.5,0.6666666666666666,0.5
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2022-04-09,Sat,Premier League,Matchweek 32,Home,L 0–6,Southampton,Chelsea,Y,"LW,LB,LM",90,0,0,0,0,0.0,0.0,0,0,48.0,1.0,2.0,1.0,0.0,0.0,0.4,1.0,0.0,32.0,40.0,80.0,5.0,33.0,4.0,3.0,1.0,/en/matches/70d15cf0/Southampton-Chelsea-April-9-2022-Premier-League,0.0,0.8333333333333334,0.5
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2022-04-16,Sat,Premier League,Matchweek 33,Home,W 1–0,Southampton,Arsenal,Y,"RM,RW",90,0,0,0,0,0.0,0.0,0,0,29.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,73.7,1.0,14.0,0.0,0.0,0.0,/en/matches/5ea2687c/Southampton-Arsenal-April-16-2022-Premier-League,1.0,0.5,0.5
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2022-04-21,Thu,Premier League,Matchweek 30,Away,L 0–2,Southampton,Burnley,Y,RW,82,0,0,0,0,2.0,0.0,0,0,49.0,1.0,0.0,3.0,0.1,0.1,0.0,1.0,0.0,28.0,39.0,71.8,4.0,34.0,4.0,2.0,2.0,/en/matches/73ef622b/Burnley-Southampton-April-21-2022-Premier-League,0.0,0.5,0.5
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,2022-04-24,Sun,Premier League,Matchweek 34,Away,D 2–2,Southampton,Brighton,Y,"RB,LB",90,0,0,0,0,2.0,0.0,0,0,53.0,3.0,4.0,0.0,0.1,0.1,0.0,2.0,0.0,33.0,41.0,80.5,4.0,26.0,3.0,1.0,1.0,/en/matches/32a11932/Brighton-and-Hove-Albion-Southampton-April-24-2022-Premier-League,0.5,0.3333333333333333,0.5
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,2022-04-30,Sat,Premier League,Matchweek 35,Home,L 1–2,Southampton,Crystal Palace,Y,RB,90,0,0,0,0,0.0,0.0,0,0,48.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,39.0,69.2,2.0,23.0,2.0,3.0,3.0,/en/matches/d260be24/Southampton-Crystal-Palace-April-30-2022-Premier-League,0.0,0.5,0.5
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2022-05-07,Sat,Premier League,Matchweek 36,Away,L 0–3,Southampton,Brentford,Y,RB,90,0,0,0,0,2.0,0.0,0,0,64.0,1.0,0.0,1.0,0.1,0.1,0.0,2.0,0.0,39.0,53.0,73.6,7.0,42.0,4.0,1.0,1.0,/en/matches/74a74729/Brentford-Southampton-May-7-2022-Premier-League,0.0,0.1666666666666666,0.5
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2022-05-17,Tue,Premier League,Matchweek 37,Home,L 1–2,Southampton,Liverpool,Y,RB,90,0,0,0,0,0.0,0.0,0,0,35.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,81.8,3.0,24.0,1.0,2.0,1.0,/en/matches/733409b2/Southampton-Liverpool-May-17-2022-Premier-League,0.0,0.1666666666666666,0.5
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,2022-05-22,Sun,Premier League,Matchweek 38,Away,L 1–4,Southampton,Leicester City,Y,RB,90,0,0,0,0,0.0,0.0,0,0,67.0,1.0,0.0,2.0,0.0,0.0,0.1,1.0,0.0,44.0,55.0,80.0,0.0,35.0,4.0,3.0,1.0,/en/matches/16e2761e/Leicester-City-Southampton-May-22-2022-Premier-League,0.0,0.0,0.5
