,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2023-07-02,Sun,Série A,Matchweek 13,Home,L 0–1,Corinthians,Bragantino,Y,"LB,CB",90,0,0,0,0,0,0,0,0,60.0,3.0,0,1.0,0.0,0.0,0.0,1.0,0.0,36.0,50.0,72.0,1.0,21.0,2.0,1.0,1.0,/en/matches/8b1896a6/Corinthians-Bragantino-July-2-2023-Serie-A,0.0,0.5
1,1,2023-07-08,Sat,Série A,Matchweek 14,Away,W 1–0,Corinthians,Atlético Mineiro,Y,CB,90,0,0,0,0,1,0,1,0,58.0,2.0,1,5.0,0.0,0.0,0.3,2.0,0.0,31.0,46.0,67.4,2.0,30.0,2.0,3.0,1.0,/en/matches/84ceab12/Atletico-Mineiro-Corinthians-July-8-2023-Serie-A,1.0,0.5
2,2,2023-07-18,Tue,Sudamericana,Knockout round play-offs,Away,W 2–1,br Corinthians,pe Universitario,Y,CB,90,0,0,0,0,1,0,1,0,,,2,,,,,,,,,,,,,,,/en/matches/c4eb32aa/Universitario-Corinthians-July-18-2023-Copa-Sudamericana,1.0,0.5
3,3,2023-07-22,Sat,Série A,Matchweek 16,Away,D 0–0,Corinthians,Bahia,Y,"CB,LB",90,0,0,0,0,0,0,1,0,53.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,24.0,36.0,66.7,3.0,24.0,0.0,2.0,1.0,/en/matches/02e3728c/Bahia-Corinthians-July-22-2023-Serie-A,0.5,0.6666666666666666
4,4,2023-08-01,Tue,Sudamericana,Round of 16,Home,W 2–1,br Corinthians,ar Newell's OB,Y,CB,90,0,0,0,0,0,0,1,0,,,1,,,,,,,,,,,,,,,/en/matches/d678f778/Corinthians-Newells-OB-August-1-2023-Copa-Sudamericana,1.0,0.8333333333333334
5,5,2023-08-05,Sat,Série A,Matchweek 18,Away,D 2–2,Corinthians,Internacional,Y,CB,90,0,0,0,0,1,0,0,0,58.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,38.0,47.0,80.9,3.0,30.0,0.0,1.0,0.0,/en/matches/9edf87c1/Internacional-Corinthians-August-5-2023-Serie-A,0.5,0.8333333333333334
6,6,2023-08-13,Sun,Série A,Matchweek 19,Home,W 3–1,Corinthians,Coritiba,Y,CB,90,0,0,0,0,2,0,0,0,97.0,3.0,1,3.0,0.0,0.0,0.1,1.0,0.0,70.0,81.0,86.4,6.0,71.0,1.0,3.0,2.0,/en/matches/7d067ace/Corinthians-Coritiba-August-13-2023-Serie-A,1.0,0.6666666666666666
7,7,2023-08-22,Tue,Sudamericana,Quarter-finals,Home,W 1–0,br Corinthians,ar Estudiantes,Y,CB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/27cca985/Corinthians-Estudiantes-August-22-2023-Copa-Sudamericana,1.0,0.8333333333333334
8,8,2023-10-01,Sun,Premier League,Matchweek 7,Home,D 1–1,Nott'ham Forest,Brentford,Y,CB,90,0,0,0,0,1,0,0,0,63.0,1.0,1,2.0,0.1,0.1,0.0,0.0,0.0,39.0,48.0,81.3,1.0,31.0,1.0,1.0,1.0,/en/matches/923467c5/Nottingham-Forest-Brentford-October-1-2023-Premier-League,0.5,0.8333333333333334
9,9,2023-10-07,Sat,Premier League,Matchweek 8,Away,D 0–0,Nott'ham Forest,Crystal Palace,Y,CB,90,0,0,0,0,2,2,0,0,65.0,2.0,0,1.0,0.4,0.4,0.1,5.0,0.0,48.0,58.0,82.8,6.0,46.0,1.0,2.0,2.0,/en/matches/1828106c/Crystal-Palace-Nottingham-Forest-October-7-2023-Premier-League,0.5,0.8333333333333334
10,10,2023-10-21,Sat,Premier League,Matchweek 9,Home,D 2–2,Nott'ham Forest,Luton Town,Y,CB,90,0,0,0,0,0,0,1,0,95.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,70.0,87.0,80.5,5.0,49.0,4.0,1.0,1.0,/en/matches/d1671efa/Nottingham-Forest-Luton-Town-October-21-2023-Premier-League,0.5,0.6666666666666666
11,11,2023-10-29,Sun,Premier League,Matchweek 10,Away,L 0–3,Nott'ham Forest,Liverpool,Y,CB,90,0,0,0,0,1,0,0,0,30.0,3.0,3,0.0,0.1,0.1,0.0,0.0,0.0,8.0,12.0,66.7,2.0,9.0,1.0,6.0,5.0,/en/matches/79bf0c7f/Liverpool-Nottingham-Forest-October-29-2023-Premier-League,0.0,0.5
12,12,2023-11-05,Sun,Premier League,Matchweek 11,Home,W 2–0,Nott'ham Forest,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,37.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,69.2,0.0,22.0,0.0,0.0,0.0,/en/matches/ac18f108/Nottingham-Forest-Aston-Villa-November-5-2023-Premier-League,1.0,0.3333333333333333
13,13,2023-11-12,Sun,Premier League,Matchweek 12,Away,L 2–3,Nott'ham Forest,West Ham,Y,CB,75,0,0,0,0,0,0,0,0,55.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,51.0,90.2,5.0,40.0,1.0,0.0,0.0,/en/matches/76b8e568/West-Ham-United-Nottingham-Forest-November-12-2023-Premier-League,0.0,0.5
