,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 2–0,Tottenham,Manchester Utd,N,LB,21,0,0,0,0,2,0,0,0,19,1,0,1,0.4,0.4,0.0,1,0,9,11,81.8,1,10,0,2,1,/en/matches/4bb62251/Tottenham-Hotspur-Manchester-United-August-19-2023-Premier-League
1,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 2–0,Tottenham,Bournemouth,N,LB,9,0,0,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0.0,1,0,13,13,100.0,1,10,0,0,0,/en/matches/f49c4ad2/Bournemouth-Tottenham-Hotspur-August-26-2023-Premier-League
2,2023-08-29,Tue,EFL Cup,Second round,Away,D 1 (3)–1 (5),Tottenham,Fulham,Y*,LB,120,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/2ec5a2ca/Fulham-Tottenham-Hotspur-August-29-2023-EFL-Cup
3,2023-09-07,Thu,Friendlies (M),Friendlies (M),Home,D 0–0,wls Wales,kr Korea Republic,Y*,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/c1557631/Wales-Korea-Republic-September-7-2023-Friendlies-M
4,2023-09-11,Mon,Euro Qualifying,Group stage,Away,W 2–0,wls Wales,lv Latvia,Y,CB,90,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/83a47574/Latvia-Wales-September-11-2023-Euro-Qualifying
5,2023-09-30,Sat,Premier League,Matchweek 7,Home,W 2–1,Tottenham,Liverpool,N,LB,8,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,11,11,100.0,4,6,0,0,0,/en/matches/ec4145b4/Tottenham-Hotspur-Liverpool-September-30-2023-Premier-League
6,2023-10-07,Sat,Premier League,Matchweek 8,Away,W 1–0,Tottenham,Luton Town,N,LB,9,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0,/en/matches/d021f28f/Luton-Town-Tottenham-Hotspur-October-7-2023-Premier-League
7,2023-10-11,Wed,Friendlies (M),Friendlies (M),Home,W 4–0,wls Wales,gi Gibraltar,Y*,CB,45,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/4fa624e4/Wales-Gibraltar-October-11-2023-Friendlies-M
8,2023-10-15,Sun,Euro Qualifying,Group stage,Home,W 2–1,wls Wales,hr Croatia,Y*,CB,90,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/d2ea200a/Wales-Croatia-October-15-2023-Euro-Qualifying
9,2023-10-27,Fri,Premier League,Matchweek 10,Away,W 2–1,Tottenham,Crystal Palace,Y,LB,45,0,0,0,0,0,0,0,0,31,1,0,1,0.0,0.0,0.0,0,0,25,27,92.6,4,14,0,1,0,/en/matches/6b0aa474/Crystal-Palace-Tottenham-Hotspur-October-27-2023-Premier-League
10,2023-11-11,Sat,Premier League,Matchweek 12,Away,L 1–2,Tottenham,Wolves,Y,CB,90,0,0,0,0,1,0,0,0,80,3,2,5,0.1,0.1,0.0,0,0,63,67,94.0,4,58,0,0,0,/en/matches/1634f066/Wolverhampton-Wanderers-Tottenham-Hotspur-November-11-2023-Premier-League
