,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sun,Community Shield,FA Community Shield,Neutral,D 1 (1)–1 (4),Manchester City,Arsenal,Y,LB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
1,Fri,Premier League,Matchweek 1,Away,W 3–0,Manchester City,Burnley,Y,"CB,RB",90,0,0,0,0,0,0,0,0,109,3,0,2,0.0,0.0,0.0,1,0,89,102,87.3,2,78,1,0,0,Match Report
2,Wed,Super Cup,UEFA Super Cup,Home,D 1 (5)–1 (4),eng Manchester City,es Sevilla,Y,CB,90,0,0,0,0,2,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
3,Sat,Premier League,Matchweek 2,Home,W 1–0,Manchester City,Newcastle Utd,Y,CB,90,0,0,0,0,1,0,0,0,68,1,2,2,0.0,0.0,0.1,1,0,57,60,95.0,4,30,0,0,0,Match Report
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat,Premier League,Matchweek 4,Home,W 5–1,Manchester City,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,114,2,1,0,0.0,0.0,0.0,3,2,98,106,92.5,3,73,1,0,0,Match Report
6,Sat,Euro Qualifying,Group stage,Away,D 2–2,ch Switzerland,xk Kosovo,Y,CB,90,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,Match Report
7,Tue,Euro Qualifying,Group stage,Home,W 3–0,ch Switzerland,ad Andorra,Y,CB,90,0,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,Match Report
8,Sat,Premier League,Matchweek 5,Away,W 3–1,Manchester City,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,97,2,2,1,0.0,0.0,0.0,4,0,88,89,98.9,7,83,5,0,0,Match Report
9,Tue,Champions Lg,Group stage,Home,W 3–1,eng Manchester City,rs Red Star,N,CB,33,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,24,24,100.0,4,15,1,0,0,Match Report
10,Sat,Premier League,Matchweek 6,Home,W 2–0,Manchester City,Nott'ham Forest,Y,CB,90,0,0,0,0,0,0,1,0,89,0,1,2,0.0,0.0,0.0,0,0,79,82,96.3,5,72,1,0,0,Match Report
11,,,,,7-3-0,,,9/10,,843,0,0,0,0,3,0,2,0,502,8,9,7,0.0,0.0,0.1,9,2,435,463,94.0,25,351,9,0,0,
