,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2022-08-06,Sat,PL2 — Div. 1,Matchweek 1,Home,W 3–1,Arsenal,Manchester Utd,Y,FW,90,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/083931ec/Arsenal-U21-Manchester-United-U21-August-6-2022-Premier-League-2----Division-1
1,2022-08-12,Fri,PL2 — Div. 1,Matchweek 2,Away,W 3–2,Arsenal,West Ham United,Y,FW,90,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/fc4c9ccd/West-Ham-United-U21-Arsenal-U21-August-12-2022-Premier-League-2----Division-1
2,2022-08-20,Sat,PL2 — Div. 1,Matchweek 3,Home,W 4–1,Arsenal,Chelsea,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/4805b119/Arsenal-U21-Chelsea-U21-August-20-2022-Premier-League-2----Division-1
3,2022-09-08,Thu,Europa Lg,Group stage,Away,W 2–1,eng Arsenal,ch Zürich,Y,RW,68,1,1,0,0,2,1,0,0,48,0,2,1,0.6,0.6,0.8,7,1,35,41,85.4,2,37,2,3,1,/en/matches/e77d99bf/Zurich-Arsenal-September-8-2022-Europa-League
4,2022-09-18,Sun,Premier League,Matchweek 8,Away,W 3–0,Arsenal,Brentford,N,RM,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,/en/matches/fd5626e6/Brentford-Arsenal-September-18-2022-Premier-League
5,2022-10-06,Thu,Europa Lg,Group stage,Home,W 3–0,eng Arsenal,no Bodø/Glimt,Y,RW,57,0,0,0,0,2,0,0,0,36,3,1,0,0.1,0.1,0.1,1,0,14,23,60.9,1,20,0,1,0,/en/matches/91a1d3df/Arsenal-BodoGlimt-October-6-2022-Europa-League
6,2022-10-13,Thu,Europa Lg,Group stage,Away,W 1–0,eng Arsenal,no Bodø/Glimt,N,RW,21,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,0,0,9,13,69.2,1,10,2,1,0,/en/matches/04e59775/BodoGlimt-Arsenal-October-13-2022-Europa-League
7,2022-10-31,Mon,PL2 — Div. 1,Matchweek 12,Home,D 1–1,Arsenal,Crystal Palace,Y,FW,60,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/dd5fb105/Arsenal-U21-Crystal-Palace-U21-October-31-2022-Premier-League-2----Division-1
8,2022-11-06,Sun,PL2 — Div. 1,Matchweek 13,Home,W 3–1,Arsenal,Everton,Y,FW,61,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/2bee0dc4/Arsenal-U21-Everton-U21-November-6-2022-Premier-League-2----Division-1
9,2022-11-09,Wed,EFL Cup,Third round,Home,L 1–3,Arsenal,Brighton,Y,AM,61,0,0,0,0,4,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/5505b180/Arsenal-Brighton-and-Hove-Albion-November-9-2022-EFL-Cup
10,2023-01-09,Mon,FA Cup,Third round proper,Away,W 3–0,Arsenal,Oxford United,N,,9,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/17eee5ca/Oxford-United-Arsenal-January-9-2023-FA-Cup
11,2023-02-25,Sat,Championship,Matchweek 34,Home,W 2–0,Norwich City,Cardiff City,Y,RW,58,1,1,0,0,3,2,0,0,32,0,0,0,0.2,0.2,0.1,3,1,20,25,80.0,0,24,0,0,0,/en/matches/0bcb9ced/Norwich-City-Cardiff-City-February-25-2023-Championship
12,2023-03-04,Sat,Championship,Matchweek 35,Away,W 3–2,Norwich City,Millwall,N,FW,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,/en/matches/7ec16d9e/Millwall-Norwich-City-March-4-2023-Championship
13,2023-03-12,Sun,Championship,Matchweek 36,Home,L 0–1,Norwich City,Sunderland,N,LM,35,0,0,0,0,1,0,0,0,14,0,0,1,0.1,0.1,0.0,0,0,6,8,75.0,0,10,0,4,1,/en/matches/ed02967b/Norwich-City-Sunderland-March-12-2023-Championship
14,2023-03-15,Wed,Championship,Matchweek 37,Away,D 1–1,Norwich City,Huddersfield,Y,RM,89,0,0,0,0,1,0,0,1,37,0,0,1,0.2,0.2,0.0,1,0,24,31,77.4,1,22,1,1,1,/en/matches/7b92d96d/Huddersfield-Town-Norwich-City-March-15-2023-Championship
15,2023-03-18,Sat,Championship,Matchweek 38,Away,D 0–0,Norwich City,Stoke City,N,LM,22,0,0,0,0,1,0,0,0,10,0,1,0,0.0,0.0,0.0,1,0,5,6,83.3,0,3,0,0,0,/en/matches/38512b4e/Stoke-City-Norwich-City-March-18-2023-Championship
16,2023-04-01,Sat,Championship,Matchweek 39,Home,L 0–1,Norwich City,Sheffield Utd,Y,RM,90,0,0,0,0,2,1,0,0,34,0,0,1,0.1,0.1,0.0,1,0,17,25,68.0,1,25,3,2,1,/en/matches/55b7c009/Norwich-City-Sheffield-United-April-1-2023-Championship
17,2023-04-07,Fri,Championship,Matchweek 40,Away,W 2–0,Norwich City,Blackburn,Y,RW,90,0,0,0,0,3,1,0,0,39,0,1,0,0.2,0.2,0.2,3,0,19,28,67.9,3,25,4,1,0,/en/matches/042fc9ed/Blackburn-Rovers-Norwich-City-April-7-2023-Championship
18,2023-04-10,Mon,Championship,Matchweek 41,Home,D 0–0,Norwich City,Rotherham Utd,Y,RW,81,0,0,0,0,2,1,0,0,46,4,0,1,0.1,0.1,0.0,4,0,25,32,78.1,5,26,1,2,1,/en/matches/78c0b692/Norwich-City-Rotherham-United-April-10-2023-Championship
19,2023-04-14,Fri,Championship,Matchweek 42,Away,L 1–5,Norwich City,Middlesbrough,Y,RW,56,0,0,0,0,1,0,0,0,24,0,1,0,0.0,0.0,0.0,1,0,14,16,87.5,2,16,0,1,1,/en/matches/d45c13c0/Middlesbrough-Norwich-City-April-14-2023-Championship
20,2023-04-19,Wed,Championship,Matchweek 43,Away,D 1–1,Norwich City,QPR,Y,RW,45,0,0,0,0,1,0,0,0,29,0,1,0,0.2,0.2,0.0,1,0,21,23,91.3,0,19,0,4,2,/en/matches/8e8c67e2/Queens-Park-Rangers-Norwich-City-April-19-2023-Championship
21,2023-04-29,Sat,Championship,Matchweek 45,Away,L 1–2,Norwich City,West Brom,Y,RW,64,0,0,0,0,0,0,0,0,27,0,0,2,0.0,0.0,0.0,0,0,16,20,80.0,0,16,0,1,0,/en/matches/8900aa02/West-Bromwich-Albion-Norwich-City-April-29-2023-Championship
