,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-06,Sun,Community Shield,FA Community Shield,Neutral,D 1 (4)–1 (1),Arsenal,Manchester City,Y,FW,90,0,1,0,0,2.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,RW,90,1,0,0,0,3.0,2.0,0,0,81.0,5.0,0.0,1.0,0.2,0.2,0.1,4.0,0.0,49.0,67.0,73.1,3.0,62.0,11.0,2.0,0.0,/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,1.0,0.5,0.5104166666666666
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,"RW,LB",88,0,0,0,0,3.0,0.0,0,0,70.0,2.0,1.0,2.0,0.2,0.2,0.2,7.0,0.0,37.0,56.0,66.1,5.0,42.0,8.0,2.0,1.0,/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,Y,RW,90,1,0,1,1,2.0,1.0,0,0,86.0,2.0,0.0,4.0,1.4,0.6,0.5,5.0,1.0,52.0,67.0,77.6,4.0,52.0,6.0,10.0,6.0,/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,0.5,0.8333333333333334,0.48888888888888893
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y,RW,90,0,1,0,0,3.0,1.0,1,0,49.0,3.0,0.0,0.0,0.4,0.4,0.4,7.0,1.0,35.0,39.0,89.7,5.0,29.0,1.0,2.0,1.0,/en/matches/74125d47/Arsenal-Manchester-United-September-3-2023-Premier-League,1.0,0.8333333333333334,0.5888888888888889
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-09,Sat,Euro Qualifying,Group stage,Away,D 1–1,eng England,ua Ukraine,Y,FW,85,0,0,0,0,3.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/a067451d/Ukraine-England-September-9-2023-Euro-Qualifying,0.5,0.8333333333333334,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-12,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,eng England,sct Scotland,N,,20,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/1461ddd6/Scotland-England-September-12-2023-Friendlies-M,1.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-09-17,Sun,Premier League,Matchweek 5,Away,W 1–0,Arsenal,Everton,Y,RW,90,0,1,0,0,0.0,0.0,0,0,56.0,1.0,0.0,2.0,0.0,0.0,0.1,3.0,1.0,39.0,46.0,84.8,3.0,36.0,1.0,7.0,2.0,/en/matches/b1278924/Everton-Arsenal-September-17-2023-Premier-League,1.0,0.8333333333333334,0.5333333333333333
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-09-20,Wed,Champions Lg,Group stage,Home,W 4–0,eng Arsenal,nl PSV Eindhoven,Y,RW,68,1,1,0,0,1.0,1.0,0,0,43.0,0.0,0.0,2.0,0.3,0.3,0.3,3.0,1.0,26.0,35.0,74.3,3.0,30.0,5.0,3.0,2.0,/en/matches/9928de4e/Arsenal-PSV-Eindhoven-September-20-2023-Champions-League,1.0,0.8333333333333334,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-09-24,Sun,Premier League,Matchweek 6,Home,D 2–2,Arsenal,Tottenham,Y,RW,89,1,0,1,1,2.0,1.0,0,0,50.0,4.0,1.0,2.0,0.9,0.1,0.5,7.0,0.0,28.0,37.0,75.7,3.0,25.0,9.0,4.0,2.0,/en/matches/08947a10/North-London-Derby-Arsenal-Tottenham-Hotspur-September-24-2023-Premier-League,0.5,1.0,0.8928571428571429
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2023-09-30,Sat,Premier League,Matchweek 7,Away,W 4–0,Arsenal,Bournemouth,Y,RW,75,1,0,0,0,3.0,2.0,0,0,42.0,2.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,25.0,32.0,78.1,1.0,30.0,2.0,1.0,1.0,/en/matches/8de4aca0/Bournemouth-Arsenal-September-30-2023-Premier-League,1.0,0.8333333333333334,0.4791666666666666
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2023-10-03,Tue,Champions Lg,Group stage,Away,L 1–2,eng Arsenal,fr Lens,Y,RW,33,0,1,0,0,0.0,0.0,0,0,25.0,2.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,16.0,19.0,84.2,1.0,21.0,0.0,0.0,0.0,/en/matches/dba6efee/Lens-Arsenal-October-3-2023-Champions-League,0.0,0.8333333333333334,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2023-10-21,Sat,Premier League,Matchweek 9,Away,D 2–2,Arsenal,Chelsea,Y,RW,90,0,1,0,0,0.0,0.0,0,0,51.0,4.0,1.0,1.0,0.0,0.0,0.3,5.0,1.0,22.0,34.0,64.7,4.0,28.0,2.0,5.0,3.0,/en/matches/a1c336e2/North-West-London-Derby-Chelsea-Arsenal-October-21-2023-Premier-League,0.5,0.5,0.8452380952380951
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2023-10-24,Tue,Champions Lg,Group stage,Away,W 2–1,eng Arsenal,es Sevilla,Y,RW,80,0,0,0,0,2.0,0.0,0,0,38.0,4.0,0.0,3.0,0.0,0.0,0.2,6.0,0.0,17.0,22.0,77.3,0.0,25.0,7.0,4.0,1.0,/en/matches/0c4b8772/Sevilla-Arsenal-October-24-2023-Champions-League,1.0,0.5,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2023-10-28,Sat,Premier League,Matchweek 10,Home,W 5–0,Arsenal,Sheffield Utd,Y*,RW,72,0,0,0,0,0.0,0.0,0,0,36.0,1.0,0.0,2.0,0.0,0.0,0.1,3.0,1.0,24.0,31.0,77.4,3.0,26.0,6.0,1.0,0.0,/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,1.0,0.5,0.0729166666666666
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2023-11-01,Wed,EFL Cup,Fourth round,Away,L 1–3,Arsenal,West Ham,N,,25,0,0,0,0,1.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/7fbf0cfb/West-Ham-United-Arsenal-November-1-2023-EFL-Cup,0.0,0.8333333333333334,0.5
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2023-11-04,Sat,Premier League,Matchweek 11,Away,L 0–1,Arsenal,Newcastle Utd,Y,RW,90,0,0,0,0,1.0,0.0,0,0,53.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,36.0,41.0,87.8,1.0,35.0,1.0,2.0,0.0,/en/matches/6096abaa/Newcastle-United-Arsenal-November-4-2023-Premier-League,0.0,0.6666666666666666,0.5333333333333333
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2023-11-08,Wed,Champions Lg,Group stage,Home,W 2–0,eng Arsenal,es Sevilla,Y,RW,84,1,1,0,0,2.0,1.0,0,0,44.0,1.0,0.0,1.0,0.4,0.4,0.7,8.0,2.0,26.0,32.0,81.3,3.0,28.0,5.0,7.0,3.0,/en/matches/2e9fad19/Arsenal-Sevilla-November-8-2023-Champions-League,1.0,0.3333333333333333,0.5
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2023-11-11,Sat,Premier League,Matchweek 12,Home,W 3–1,Arsenal,Burnley,Y,RW,80,0,1,0,0,3.0,1.0,0,0,49.0,0.0,0.0,0.0,0.1,0.1,0.6,7.0,1.0,31.0,44.0,70.5,2.0,25.0,2.0,1.0,1.0,/en/matches/2cb4e4dc/Arsenal-Burnley-November-11-2023-Premier-League,1.0,0.3333333333333333,0.0777777777777777
