,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-07,Sun,Premier League,Matchweek 1,Home,D 2–2,Leicester City,Brentford,Y,"FW,AM",90,0,1,0,0,6,1,0,0,86.0,0.0,0,1.0,0.3,0.3,0.3,6.0,1.0,55.0,69.0,79.7,9.0,63.0,0.0,3.0,1.0,/en/matches/3249ba27/Leicester-City-Brentford-August-7-2022-Premier-League,0.5,0.5,0.5625
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2022-08-13,Sat,Premier League,Matchweek 2,Away,L 2–4,Leicester City,Arsenal,Y,"FW,AM,RW",90,1,0,0,0,2,1,0,0,51.0,1.0,0,1.0,0.2,0.2,0.0,2.0,1.0,32.0,44.0,72.7,6.0,44.0,2.0,1.0,0.0,/en/matches/7483b97f/Arsenal-Leicester-City-August-13-2022-Premier-League,0.0,0.5,0.5666666666666667
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2022-08-20,Sat,Premier League,Matchweek 3,Home,L 1–2,Leicester City,Southampton,Y,"CM,AM,RW",90,1,0,0,0,2,1,1,0,56.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,43.0,52.0,82.7,9.0,39.0,1.0,0.0,0.0,/en/matches/02efd4d1/Leicester-City-Southampton-August-20-2022-Premier-League,0.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2022-08-23,Tue,EFL Cup,Second round,Away,D 0 (3)–0 (1),Leicester City,Stockport,N,,61,0,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/17a75295/Stockport-Leicester-City-August-23-2022-EFL-Cup,0.5,0.1666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2022-09-01,Thu,Premier League,Matchweek 5,Home,L 0–1,Leicester City,Manchester Utd,Y,RM,90,0,0,0,0,3,1,1,0,58.0,2.0,1,1.0,0.2,0.2,0.0,5.0,0.0,35.0,48.0,72.9,8.0,36.0,1.0,3.0,0.0,/en/matches/c1f25d02/Leicester-City-Manchester-United-September-1-2022-Premier-League,0.0,0.1666666666666666,0.6904761904761905
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2022-09-04,Sun,Premier League,Matchweek 6,Away,L 2–5,Leicester City,Brighton,Y,"CM,RM",90,0,0,0,0,0,0,0,0,54.0,3.0,1,1.0,0.0,0.0,0.0,0.0,0.0,35.0,45.0,77.8,2.0,35.0,3.0,2.0,0.0,/en/matches/42d5b3b1/Brighton-and-Hove-Albion-Leicester-City-September-4-2022-Premier-League,0.0,0.1666666666666666,0.6555555555555556
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2022-09-17,Sat,Premier League,Matchweek 8,Away,L 2–6,Leicester City,Tottenham,Y,RM,90,1,0,0,0,7,3,0,0,70.0,4.0,1,0.0,0.4,0.4,0.2,7.0,0.0,44.0,56.0,78.6,10.0,52.0,4.0,0.0,0.0,/en/matches/99e44c16/Tottenham-Hotspur-Leicester-City-September-17-2022-Premier-League,0.0,0.1666666666666666,0.7333333333333335
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2022-10-03,Mon,Premier League,Matchweek 9,Home,W 4–0,Leicester City,Nott'ham Forest,Y,RM,84,2,1,0,0,3,2,1,0,69.0,2.0,2,0.0,0.2,0.2,0.5,7.0,2.0,45.0,55.0,81.8,8.0,36.0,3.0,6.0,3.0,/en/matches/a7976021/Leicester-City-Nottingham-Forest-October-3-2022-Premier-League,1.0,0.0,0.1770833333333333
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2022-10-08,Sat,Premier League,Matchweek 10,Away,L 1–2,Leicester City,Bournemouth,Y,"RM,CM",90,0,0,0,0,2,1,1,0,54.0,2.0,0,1.0,0.1,0.1,0.2,4.0,0.0,37.0,45.0,82.2,5.0,36.0,5.0,2.0,1.0,/en/matches/7db2a40a/Bournemouth-Leicester-City-October-8-2022-Premier-League,0.0,0.3333333333333333,0.5833333333333334
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022-10-15,Sat,Premier League,Matchweek 11,Home,D 0–0,Leicester City,Crystal Palace,Y,RM,90,0,0,0,0,4,1,1,0,68.0,6.0,0,1.0,0.4,0.4,0.2,6.0,0.0,35.0,54.0,64.8,4.0,40.0,2.0,3.0,0.0,/en/matches/37677e58/Leicester-City-Crystal-Palace-October-15-2022-Premier-League,0.5,0.3333333333333333,0.5666666666666667
