,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Match Report,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,PassLive,PassDead,TO,Fld,Def,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Lost,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,Tkld,Tkld%,CPA,Mis,Dis,Rec,PrgR,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
0,2023-08-06,Sun,Championship,Matchweek 1,Home,D 2–2,Leeds United,Cardiff City,Y,"AM,RW",90,0,0,0,0,1,0,0,0,80,1,0,2,0.0,0.0,0.1,7,1,54,62,87.1,7,45,2,3,https://fbref.com/en/matches/29b786f2/Leeds-United-Cardiff-City-August-6-2023-Championship,695,130,0.1,3,4,2,0,61,0,0,0,1,0,0,0,0,0,0,1,4,0,1,1,0,1,0,0,1,50.0,1,2,1,0,0,0,8,50.0,2,33.3,1,2,5,65,9,0,2,0,0,0,5,2,50.0
1,2023-08-09,Wed,EFL Cup,First round,Home,W 2–1,Leeds United,Shrewsbury,N,,7,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,https://fbref.com/en/matches/40f5d1d6/Leeds-United-Shrewsbury-Town-August-9-2023-EFL-Cup,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-08-26,Sat,Championship,Matchweek 4,Away,W 4–3,Leeds United,Ipswich Town,Y,LM,84,1,0,0,0,4,4,0,0,51,0,0,2,0.4,0.4,0.1,6,2,33,34,97.1,3,34,3,2,https://fbref.com/en/matches/12ec9f85/Ipswich-Town-Leeds-United-August-26-2023-Championship,464,124,0.2,1,1,1,0,34,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,1,5,33.3,4,66.7,3,3,1,41,6,0,1,0,0,0,5,1,100.0
4,2023-08-29,Tue,EFL Cup,Second round,Away,D 1 (8)–1 (9),Leeds United,Salford City,N,,60,0,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,https://fbref.com/en/matches/749af33a/Salford-City-Leeds-United-August-29-2023-EFL-Cup,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,
5,2023-09-07,Thu,WCQ,WCQ — CONMEBOL (M),Home,W 1–0,co Colombia,ve Venezuela,N,,3,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,https://fbref.com/en/matches/65227f28/Colombia-Venezuela-September-7-2023-WCQ----CONMEBOL-M,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
6,2023-09-12,Tue,WCQ,WCQ — CONMEBOL (M),Away,D 0–0,co Colombia,cl Chile,N,,20,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,https://fbref.com/en/matches/acc6c6da/Chile-Colombia-September-12-2023-WCQ----CONMEBOL-M,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
7,2023-09-17,Sun,Premier League,Matchweek 5,Home,D 0–0,Bournemouth,Chelsea,N,LW,18,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,2,4,0,0,https://fbref.com/en/matches/be0cbf88/Bournemouth-Chelsea-September-17-2023-Premier-League,45,29,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,2,0.0,1,50.0,1,1,0,4,1,0,1,0,0,0,0,0,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-09-30,Sat,Premier League,Matchweek 7,Home,L 0–4,Bournemouth,Arsenal,N,LW,32,0,0,0,0,0,0,0,0,22,3,1,1,0.0,0.0,0.1,1,0,13,16,81.3,1,16,0,1,https://fbref.com/en/matches/8de4aca0/Bournemouth-Arsenal-September-30-2023-Premier-League,181,57,0.1,1,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,100.0,0,1,4,0,0,0,2,50.0,0,0.0,0,1,0,14,3,0,1,0,0,0,2,0,0.0
10,2023-10-07,Sat,Premier League,Matchweek 8,Away,L 0–3,Bournemouth,Everton,N,"LM,LW",34,0,0,0,0,0,0,0,0,15,3,0,0,0.0,0.0,0.1,2,0,8,12,66.7,2,8,4,2,https://fbref.com/en/matches/497b9558/Everton-Bournemouth-October-7-2023-Premier-League,81,39,0.2,2,0,2,0,12,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,33.3,2,0,3,0,0,0,3,100.0,0,0.0,1,0,0,12,4,0,1,0,0,0,0,0,0.0
