,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-11,Sun,Premier League,Matchweek 1,Home,D 0–0,Leicester City,Wolves,Y,CB,90,0,0,0,0,1.0,0.0,0,0,94.0,4.0,0.0,2.0,0.2,0.2,0.0,1.0,0.0,71.0,81.0,87.7,6.0,56.0,1.0,0.0,0.0,/en/matches/bf4afd61/Leicester-City-Wolverhampton-Wanderers-August-11-2019-Premier-League,0.5,0.5,0.9230769230769232
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-18,Sun,Premier League,Matchweek 2,Away,D 1–1,Leicester City,Chelsea,Y,CB,90,0,0,0,0,0.0,0.0,0,0,59.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,52.0,88.5,1.0,37.0,0.0,1.0,1.0,/en/matches/aebf58b9/Chelsea-Leicester-City-August-18-2019-Premier-League,0.5,0.5,0.4761904761904761
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-24,Sat,Premier League,Matchweek 3,Away,W 2–1,Leicester City,Sheffield Utd,Y,CB,90,0,0,0,0,0.0,0.0,0,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,54.0,81.5,0.0,45.0,0.0,0.0,0.0,/en/matches/48fcf75b/Sheffield-United-Leicester-City-August-24-2019-Premier-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-28,Wed,EFL Cup,Second round,Away,D 1 (4)–1 (2),Leicester City,Newcastle Utd,N,,64,0,0,0,0,1.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/551a9edd/Newcastle-United-Leicester-City-August-28-2019-EFL-Cup,0.5,0.6666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-08-31,Sat,Premier League,Matchweek 4,Home,W 3–1,Leicester City,Bournemouth,Y,CB,90,0,0,0,0,0.0,0.0,0,0,75.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,53.0,59.0,89.8,2.0,41.0,0.0,0.0,0.0,/en/matches/3d899563/Leicester-City-Bournemouth-August-31-2019-Premier-League,1.0,0.6666666666666666,0.4880952380952381
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-09-09,Mon,UEFA Euro Qualifying,Group stage,Home,L 0–2,nir Northern Ireland,de Germany,Y,CB,90,0,0,0,0,0.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/4a08c262/Northern-Ireland-Germany-September-9-2019-UEFA-Euro-Qualifying,0.0,0.8333333333333334,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-09-14,Sat,Premier League,Matchweek 5,Away,L 0–1,Leicester City,Manchester Utd,Y,CB,90,0,0,0,0,0.0,0.0,0,0,74.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,62.0,72.6,1.0,36.0,0.0,0.0,0.0,/en/matches/6d0266a1/Manchester-United-Leicester-City-September-14-2019-Premier-League,0.0,0.5,0.5476190476190477
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-09-21,Sat,Premier League,Matchweek 6,Home,W 2–1,Leicester City,Tottenham,Y,CB,90,0,0,0,0,0.0,0.0,0,0,45.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,34.0,73.5,1.0,21.0,0.0,0.0,0.0,/en/matches/e30adc4b/Leicester-City-Tottenham-Hotspur-September-21-2019-Premier-League,1.0,0.3333333333333333,0.7023809523809524
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-09-24,Tue,EFL Cup,Third round,Away,W 4–0,Leicester City,Luton Town,Y,CB,90,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/6244e915/Luton-Town-Leicester-City-September-24-2019-EFL-Cup,1.0,0.3333333333333333,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-09-29,Sun,Premier League,Matchweek 7,Home,W 5–0,Leicester City,Newcastle Utd,Y,CB,90,0,1,0,0,0.0,0.0,0,0,91.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,2.0,82.0,88.0,93.2,7.0,76.0,1.0,0.0,0.0,/en/matches/40d77688/Leicester-City-Newcastle-United-September-29-2019-Premier-League,1.0,0.6666666666666666,0.4285714285714285
