,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2020-09-12,Sat,Premier League,Matchweek 1,Away,W 2–0,Newcastle Utd,West Ham,Y,RB,90,0,0,0,0,0,0,1,0,47.0,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,20.0,34.0,58.8,1.0,27.0,1.0,1.0,0.0,/en/matches/78495ced/West-Ham-United-Newcastle-United-September-12-2020-Premier-League,1.0,0.5
1,1,2020-09-15,Tue,EFL Cup,Second round,Home,W 1–0,Newcastle Utd,Blackburn,Y,LB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/b1979b09/Newcastle-United-Blackburn-Rovers-September-15-2020-EFL-Cup,1.0,0.5
2,2,2020-09-20,Sun,Premier League,Matchweek 2,Home,L 0–3,Newcastle Utd,Brighton,Y,"RB,LB",90,0,0,0,0,0,0,0,0,58.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,52.0,80.8,4.0,29.0,2.0,1.0,0.0,/en/matches/845f6a86/Newcastle-United-Brighton-and-Hove-Albion-September-20-2020-Premier-League,0.0,0.5
3,3,2020-09-27,Sun,Premier League,Matchweek 3,Away,D 1–1,Newcastle Utd,Tottenham,Y,RB,90,0,0,0,0,0,0,0,0,50.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,30.0,44.0,68.2,2.0,27.0,1.0,0.0,0.0,/en/matches/002c4e89/Tottenham-Hotspur-Newcastle-United-September-27-2020-Premier-League,0.5,0.6666666666666666
4,4,2020-09-30,Wed,EFL Cup,Fourth round,Away,D 1 (5)–1 (4),Newcastle Utd,Newport County,Y,RB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/23c0879d/Newport-County-Newcastle-United-September-30-2020-EFL-Cup,0.5,0.5
5,5,2020-10-03,Sat,Premier League,Matchweek 4,Home,W 3–1,Newcastle Utd,Burnley,N,RB,36,0,0,0,0,1,0,0,0,17.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,14.0,92.9,1.0,11.0,0.0,0.0,0.0,/en/matches/34ba607f/Newcastle-United-Burnley-October-3-2020-Premier-League,1.0,0.3333333333333333
6,6,2020-11-21,Sat,Premier League,Matchweek 9,Home,L 0–2,Newcastle Utd,Chelsea,Y,RB,64,0,0,0,0,0,0,0,0,27.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,20.0,55.0,0.0,11.0,2.0,0.0,0.0,/en/matches/dbcba6c6/Newcastle-United-Chelsea-November-21-2020-Premier-League,0.0,0.6666666666666666
7,7,2020-11-27,Fri,Premier League,Matchweek 10,Away,W 2–0,Newcastle Utd,Crystal Palace,Y,RB,90,0,0,0,0,0,0,0,0,61.0,6.0,1,0.0,0.0,0.0,0.0,1.0,0.0,33.0,48.0,68.8,0.0,22.0,0.0,2.0,0.0,/en/matches/0d5962be/Crystal-Palace-Newcastle-United-November-27-2020-Premier-League,1.0,0.5
8,8,2021-01-23,Sat,Premier League,Matchweek 11,Away,L 0–2,Newcastle Utd,Aston Villa,Y,RB,70,0,0,0,0,0,0,0,0,37.0,1.0,0,1.0,0.0,0.0,0.0,2.0,0.0,23.0,29.0,79.3,2.0,15.0,1.0,2.0,0.0,/en/matches/b2143993/Aston-Villa-Newcastle-United-January-23-2021-Premier-League,0.0,0.6666666666666666
9,9,2021-01-30,Sat,Premier League,Matchweek 21,Away,W 2–0,Newcastle Utd,Everton,Y,RB,90,0,0,0,0,0,0,0,0,57.0,3.0,1,1.0,0.0,0.0,0.0,0.0,0.0,33.0,46.0,71.7,4.0,22.0,4.0,0.0,0.0,/en/matches/88053fb0/Everton-Newcastle-United-January-30-2021-Premier-League,1.0,0.3333333333333333
10,10,2021-02-02,Tue,Premier League,Matchweek 22,Home,L 1–2,Newcastle Utd,Crystal Palace,Y,RB,76,0,0,0,0,0,0,0,0,45.0,2.0,1,1.0,0.0,0.0,0.1,2.0,0.0,27.0,37.0,73.0,1.0,11.0,1.0,1.0,0.0,/en/matches/ca8297c0/Newcastle-United-Crystal-Palace-February-2-2021-Premier-League,0.0,0.6666666666666666
11,11,2021-02-06,Sat,Premier League,Matchweek 23,Home,W 3–2,Newcastle Utd,Southampton,Y,RB,23,0,0,0,0,0,0,0,0,17.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,63.6,0.0,7.0,0.0,0.0,0.0,/en/matches/5313627a/Newcastle-United-Southampton-February-6-2021-Premier-League,1.0,0.3333333333333333
12,12,2021-03-12,Fri,Premier League,Matchweek 28,Home,D 1–1,Newcastle Utd,Aston Villa,N,RB,8,0,0,0,0,0,0,0,0,9.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,1.0,4.0,0.0,0.0,0.0,/en/matches/5ac8e391/Newcastle-United-Aston-Villa-March-12-2021-Premier-League,0.5,0.6666666666666666
13,13,2021-03-20,Sat,Premier League,Matchweek 29,Away,L 0–3,Newcastle Utd,Brighton,Y,RB,90,0,0,0,0,0,0,0,0,57.0,4.0,1,2.0,0.0,0.0,0.0,0.0,0.0,39.0,50.0,78.0,3.0,31.0,0.0,1.0,1.0,/en/matches/1daf63a9/Brighton-and-Hove-Albion-Newcastle-United-March-20-2021-Premier-League,0.0,0.5
14,14,2021-04-04,Sun,Premier League,Matchweek 30,Home,D 2–2,Newcastle Utd,Tottenham,N,RB,8,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,33.3,1.0,2.0,1.0,0.0,0.0,/en/matches/7a399858/Newcastle-United-Tottenham-Hotspur-April-4-2021-Premier-League,0.5,0.5
