,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,2020-01-25,Sat,FA Cup,Fourth round,Home,D 0–0,Newcastle Utd,Oxford United,Y,CM,79,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/5250414d/Newcastle-United-Oxford-United-January-25-2020-FA-Cup,0.5,0.5,0.5
1,1,1,1,2020-02-01,Sat,Premier League,Matchweek 25,Home,D 0–0,Newcastle Utd,Norwich City,Y,CM,90,0,0,0,0,0,0,1,0,56.0,1.0,5,0.0,0.0,0.0,0.1,4.0,0.0,38.0,44.0,86.4,4.0,31.0,0.0,0.0,0.0,/en/matches/eef415ec/Newcastle-United-Norwich-City-February-1-2020-Premier-League,0.5,0.5,0.5
2,2,2,2,2020-02-04,Tue,FA Cup,Fourth round,Away,W 3–2,Newcastle Utd,Oxford United,Y,CM,102,0,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,/en/matches/6021db52/Oxford-United-Newcastle-United-February-4-2020-FA-Cup,1.0,0.5,0.5
3,3,3,3,2020-02-16,Sun,Premier League,Matchweek 26,Away,L 0–4,Newcastle Utd,Arsenal,Y,"CM,DM",90,0,0,0,0,0,0,0,0,48.0,3.0,2,0.0,0.0,0.0,0.0,3.0,0.0,33.0,39.0,84.6,3.0,33.0,0.0,0.0,0.0,/en/matches/6ce374b0/Arsenal-Newcastle-United-February-16-2020-Premier-League,0.0,0.6666666666666666,0.5
4,4,4,4,2020-02-22,Sat,Premier League,Matchweek 27,Away,L 0–1,Newcastle Utd,Crystal Palace,Y,CM,90,0,0,0,0,1,0,1,0,66.0,3.0,3,1.0,0.0,0.0,0.0,0.0,0.0,48.0,54.0,88.9,3.0,47.0,0.0,3.0,2.0,/en/matches/5947b8fb/Crystal-Palace-Newcastle-United-February-22-2020-Premier-League,0.0,0.5,0.5
5,5,5,5,2020-03-03,Tue,FA Cup,Fifth round,Away,W 3–2,Newcastle Utd,West Brom,Y,DM,90,0,0,0,0,1,0,1,0,,,0,,,,,,,,,,,,,,,/en/matches/67445d2b/West-Bromwich-Albion-Newcastle-United-March-3-2020-FA-Cup,1.0,0.3333333333333333,0.5
6,6,6,6,2020-06-21,Sun,Premier League,Matchweek 30,Home,W 3–0,Newcastle Utd,Sheffield Utd,N,LM,12,0,0,0,0,0,0,0,0,24.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,95.7,2.0,14.0,0.0,0.0,0.0,/en/matches/4e501da1/Newcastle-United-Sheffield-United-June-21-2020-Premier-League,1.0,0.3333333333333333,0.5
7,7,7,7,2020-06-24,Wed,Premier League,Matchweek 31,Home,D 1–1,Newcastle Utd,Aston Villa,N,CM,5,0,0,0,0,0,0,0,0,1.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,/en/matches/66027e20/Newcastle-United-Aston-Villa-June-24-2020-Premier-League,0.5,0.6666666666666666,0.5
8,8,8,8,2020-07-01,Wed,Premier League,Matchweek 32,Away,W 4–1,Newcastle Utd,Bournemouth,Y,DM,90,0,0,0,0,0,0,0,0,65.0,5.0,2,2.0,0.0,0.0,0.1,2.0,0.0,48.0,54.0,88.9,2.0,21.0,1.0,3.0,2.0,/en/matches/92aaad57/Bournemouth-Newcastle-United-July-1-2020-Premier-League,1.0,0.8333333333333334,0.5
9,9,9,9,2020-07-05,Sun,Premier League,Matchweek 33,Home,D 2–2,Newcastle Utd,West Ham,N,DM,48,0,0,0,0,1,0,0,0,49.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,42.0,88.1,1.0,23.0,0.0,2.0,2.0,/en/matches/3d549d43/Newcastle-United-West-Ham-United-July-5-2020-Premier-League,0.5,0.8333333333333334,0.5
10,10,10,10,2020-07-08,Wed,Premier League,Matchweek 34,Away,L 0–5,Newcastle Utd,Manchester City,Y,CM,90,0,0,0,0,0,0,0,0,46.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,29.0,39.0,74.4,0.0,16.0,1.0,0.0,0.0,/en/matches/426dcb15/Manchester-City-Newcastle-United-July-8-2020-Premier-League,0.0,0.6666666666666666,0.5
11,11,11,11,2020-07-11,Sat,Premier League,Matchweek 35,Away,L 1–2,Newcastle Utd,Watford,N,"CM,LM",13,0,0,0,0,0,0,0,0,12.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,3.0,0.0,0.0,0.0,/en/matches/ae59ff28/Watford-Newcastle-United-July-11-2020-Premier-League,0.0,0.5,0.5
12,12,12,12,2020-07-15,Wed,Premier League,Matchweek 36,Home,L 1–3,Newcastle Utd,Tottenham,Y,CM,85,0,0,0,0,1,0,0,0,53.0,2.0,1,2.0,0.0,0.0,0.0,4.0,0.0,43.0,46.0,93.5,3.0,25.0,0.0,1.0,1.0,/en/matches/21cbea56/Newcastle-United-Tottenham-Hotspur-July-15-2020-Premier-League,0.0,0.1666666666666666,0.5
13,13,13,13,2020-07-20,Mon,Premier League,Matchweek 37,Away,D 0–0,Newcastle Utd,Brighton,Y,CM,90,0,0,0,0,1,0,0,0,53.0,1.0,3,2.0,0.0,0.0,0.0,1.0,0.0,32.0,42.0,76.2,1.0,22.0,0.0,1.0,1.0,/en/matches/9defdd38/Brighton-and-Hove-Albion-Newcastle-United-July-20-2020-Premier-League,0.5,0.0,0.5
14,14,14,14,2020-07-26,Sun,Premier League,Matchweek 38,Home,L 1–3,Newcastle Utd,Liverpool,Y,CM,48,0,0,0,0,0,0,0,0,23.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,68.4,0.0,7.0,0.0,0.0,0.0,/en/matches/b6b1209d/Newcastle-United-Liverpool-July-26-2020-Premier-League,0.0,0.1666666666666666,0.5
