,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2023-08-06,Sun,Community Shield,FA Community Shield,Neutral,D 1 (4)–1 (1),Arsenal,Manchester City,N,,4,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,0.5,0.5
1,1,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,N,LM,35,0,1,0,0,1,1,0,0,27.0,0.0,0,0.0,0.0,0.0,0.3,3.0,1.0,16.0,21.0,76.2,5.0,19.0,3.0,3.0,1.0,/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,0.5,0.5
2,2,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,N,LM,14,0,1,0,0,0,0,0,0,16.0,0.0,0,0.0,0.0,0.0,0.8,1.0,1.0,13.0,13.0,100.0,2.0,8.0,1.0,1.0,0.0,/en/matches/74125d47/Arsenal-Manchester-United-September-3-2023-Premier-League,1.0,0.5
3,3,2023-09-17,Sun,Premier League,Matchweek 5,Away,W 1–0,Arsenal,Everton,Y,LM,79,0,0,0,0,4,0,0,0,41.0,1.0,1,0.0,0.4,0.4,0.0,0.0,0.0,24.0,31.0,77.4,1.0,27.0,1.0,2.0,1.0,/en/matches/b1278924/Everton-Arsenal-September-17-2023-Premier-League,1.0,0.6666666666666666
4,4,2023-09-20,Wed,Champions Lg,Group stage,Home,W 4–0,eng Arsenal,nl PSV Eindhoven,N,RW,22,0,0,0,0,1,0,0,0,18.0,0.0,0,0.0,0.0,0.0,0.1,3.0,0.0,12.0,16.0,75.0,1.0,14.0,2.0,1.0,0.0,/en/matches/9928de4e/Arsenal-PSV-Eindhoven-September-20-2023-Champions-League,1.0,0.8333333333333334
5,5,2023-09-24,Sun,Premier League,Matchweek 6,Home,D 2–2,Arsenal,Tottenham,Y,LM,45,0,0,0,0,0,0,0,0,17.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,78.6,0.0,12.0,3.0,1.0,0.0,/en/matches/08947a10/North-London-Derby-Arsenal-Tottenham-Hotspur-September-24-2023-Premier-League,0.5,1.0
6,6,2023-09-30,Sat,Premier League,Matchweek 7,Away,W 4–0,Arsenal,Bournemouth,N,RW,15,0,0,0,0,0,0,0,0,15.0,1.0,1,0.0,0.0,0.0,0.1,2.0,1.0,10.0,12.0,83.3,2.0,9.0,1.0,1.0,0.0,/en/matches/8de4aca0/Bournemouth-Arsenal-September-30-2023-Premier-League,1.0,0.8333333333333334
7,7,2023-10-03,Tue,Champions Lg,Group stage,Away,L 1–2,eng Arsenal,fr Lens,N,RW,57,0,0,0,0,0,0,0,0,33.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,31.0,87.1,3.0,32.0,1.0,1.0,1.0,/en/matches/dba6efee/Lens-Arsenal-October-3-2023-Champions-League,0.0,0.8333333333333334
8,8,2023-10-28,Sat,Premier League,Matchweek 10,Home,W 5–0,Arsenal,Sheffield Utd,N,LM,17,1,0,1,1,0,0,0,0,10.0,0.0,0,0.0,0.8,0.0,0.0,2.0,2.0,6.0,8.0,75.0,1.0,4.0,0.0,0.0,0.0,/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,1.0,0.5
9,9,2023-11-01,Wed,EFL Cup,Fourth round,Away,L 1–3,Arsenal,West Ham,Y,CM,90,0,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/7fbf0cfb/West-Ham-United-Arsenal-November-1-2023-EFL-Cup,0.0,0.6666666666666666
10,10,2023-11-04,Sat,Premier League,Matchweek 11,Away,L 0–1,Arsenal,Newcastle Utd,N,RM,12,0,0,0,0,0,0,0,0,12.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,12.0,66.7,1.0,10.0,0.0,0.0,0.0,/en/matches/6096abaa/Newcastle-United-Arsenal-November-4-2023-Premier-League,0.0,0.3333333333333333
11,11,2023-11-08,Wed,Champions Lg,Group stage,Home,W 2–0,eng Arsenal,es Sevilla,N,"FW,RM",10,0,0,0,0,0,0,0,0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,1.0,4.0,0.0,0.0,0.0,/en/matches/2e9fad19/Arsenal-Sevilla-November-8-2023-Champions-League,1.0,0.3333333333333333
12,12,2023-11-11,Sat,Premier League,Matchweek 12,Home,W 3–1,Arsenal,Burnley,N,RM,24,0,0,0,0,0,0,0,1,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,4.0,0.0,0.0,0.0,/en/matches/2cb4e4dc/Arsenal-Burnley-November-11-2023-Premier-League,1.0,0.3333333333333333
