,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-14,Sat,Premier League,Matchweek 1,Home,L 1–2,Burnley,Brighton,Y,GK,90,0,0,0,0,0.0,0.0,0,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,81.0,0.0,11.0,0.0,0.0,0.0,/en/matches/4eb36e37/Burnley-Brighton-and-Hove-Albion-August-14-2021-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-21,Sat,Premier League,Matchweek 2,Away,L 0–2,Burnley,Liverpool,Y,GK,90,0,0,0,0,0.0,0.0,0,0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,37.0,40.5,0.0,19.0,0.0,0.0,0.0,/en/matches/94d9dac0/Liverpool-Burnley-August-21-2021-Premier-League,0.0,0.5,0.5357142857142858
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-29,Sun,Premier League,Matchweek 3,Home,D 1–1,Burnley,Leeds United,Y,GK,90,0,0,0,0,0.0,0.0,0,0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0,45.5,0.0,17.0,0.0,0.0,0.0,/en/matches/2e5db698/Burnley-Leeds-United-August-29-2021-Premier-League,0.5,0.5,0.5128205128205128
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-13,Mon,Premier League,Matchweek 4,Away,L 1–3,Burnley,Everton,Y,GK,90,0,0,0,0,0.0,0.0,0,0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,66.7,0.0,13.0,0.0,0.0,0.0,/en/matches/668b2f97/Everton-Burnley-September-13-2021-Premier-League,0.0,0.1666666666666666,0.7380952380952381
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-18,Sat,Premier League,Matchweek 5,Home,L 0–1,Burnley,Arsenal,Y,GK,90,0,0,0,0,0.0,0.0,0,0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,30.0,73.3,0.0,18.0,0.0,0.0,0.0,/en/matches/a427debc/Burnley-Arsenal-September-18-2021-Premier-League,0.0,0.1666666666666666,0.6666666666666667
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-21,Tue,EFL Cup,Third round,Home,W 4–1,Burnley,Rochdale,Y,GK,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/05af5985/Burnley-Rochdale-September-21-2021-EFL-Cup,1.0,0.1666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-09-25,Sat,Premier League,Matchweek 6,Away,D 2–2,Burnley,Leicester City,Y,GK,90,0,0,0,0,0.0,0.0,0,0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,28.0,35.7,0.0,12.0,0.0,0.0,0.0,/en/matches/2d61f328/Leicester-City-Burnley-September-25-2021-Premier-League,0.5,0.3333333333333333,0.3214285714285713
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-10-02,Sat,Premier League,Matchweek 7,Home,D 0–0,Burnley,Norwich City,Y,GK,90,0,0,0,0,0.0,0.0,0,0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,73.3,0.0,21.0,0.0,0.0,0.0,/en/matches/9231df9a/Burnley-Norwich-City-October-2-2021-Premier-League,0.5,0.5,0.0595238095238095
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-10-16,Sat,Premier League,Matchweek 8,Away,L 0–2,Burnley,Manchester City,Y,GK,90,0,0,0,0,0.0,0.0,0,0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,35.0,42.9,0.0,21.0,0.0,0.0,0.0,/en/matches/55778d0d/Manchester-City-Burnley-October-16-2021-Premier-League,0.0,0.6666666666666666,0.5714285714285715
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-10-23,Sat,Premier League,Matchweek 9,Away,D 2–2,Burnley,Southampton,Y,GK,90,0,0,0,0,0.0,0.0,0,0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,30.0,46.7,0.0,13.0,0.0,0.0,0.0,/en/matches/d5164fbe/Southampton-Burnley-October-23-2021-Premier-League,0.5,0.3333333333333333,0.4880952380952381
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-10-27,Wed,EFL Cup,Fourth round,Home,L 0–1,Burnley,Tottenham,Y,GK,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/fb218c5e/Burnley-Tottenham-Hotspur-October-27-2021-EFL-Cup,0.0,0.3333333333333333,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2021-10-30,Sat,Premier League,Matchweek 10,Home,W 3–1,Burnley,Brentford,Y,GK,90,0,0,0,0,0.0,0.0,0,0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,32.0,59.4,0.0,20.0,0.0,0.0,0.0,/en/matches/c8915e9e/Burnley-Brentford-October-30-2021-Premier-League,1.0,0.1666666666666666,0.4404761904761903
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2021-11-06,Sat,Premier League,Matchweek 11,Away,D 1–1,Burnley,Chelsea,Y,GK,90,0,0,0,0,0.0,0.0,0,0,36.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,12.0,32.0,37.5,0.0,12.0,0.0,0.0,0.0,/en/matches/316c0296/Chelsea-Burnley-November-6-2021-Premier-League,0.5,0.5,0.9166666666666669
