,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2023-01-12,Sat,Matchweek 21,Away,D 0–0,Chelsea,Liverpool,Y,CB,90,99,25,76,20,4,2,99,0,0,,0,,65,189,114,0,0,0,0,1,75,1,/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League
1,2023-01-12,Fri,Matchweek 22,Home,D 0–0,Chelsea,Fulham,Y,CB,90,121,12,57,64,1,1,121,0,0,,0,,86,629,431,3,0,0,0,0,99,0,/en/matches/c3cf244b/Chelsea-Fulham-February-3-2023-Premier-League
2,2023-01-12,Sat,Matchweek 23,Away,D 1–1,Chelsea,West Ham,Y,CB,90,88,9,40,46,2,2,88,0,0,,0,,59,262,117,0,0,0,0,0,68,0,/en/matches/18dea268/West-Ham-United-Chelsea-February-11-2023-Premier-League
3,2023-01-12,Sat,Matchweek 24,Home,L 0–1,Chelsea,Southampton,Y,CB,90,83,9,50,31,3,1,83,1,0,0.0,1,100.0,58,239,156,2,0,0,1,0,57,0,/en/matches/8d750d5d/Chelsea-Southampton-February-18-2023-Premier-League
4,2023-01-12,Sun,Matchweek 25,Away,L 0–2,Chelsea,Tottenham,N,"On matchday squad, but did not play",/en/matches/8eff71b5/Tottenham-Hotspur-Chelsea-February-26-2023-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
5,2023-01-12,Sat,Matchweek 26,Home,W 1–0,Chelsea,Leeds United,Y,CB,90,77,0,18,58,2,0,77,0,0,,0,,60,309,206,2,1,0,0,0,53,0,/en/matches/59f9a78f/Chelsea-Leeds-United-March-4-2023-Premier-League
6,2023-01-12,Sat,Matchweek 27,Away,W 3–1,Chelsea,Leicester City,N,CB,5,21,0,9,13,0,0,21,0,0,,0,,15,54,24,0,0,0,0,0,18,0,/en/matches/bd5571a1/Leicester-City-Chelsea-March-11-2023-Premier-League
7,2023-01-12,Sat,Matchweek 28,Home,D 2–2,Chelsea,Everton,Y,CB,90,79,4,37,40,2,1,79,0,0,,0,,57,261,119,1,0,0,0,0,57,0,/en/matches/9453dba7/Chelsea-Everton-March-18-2023-Premier-League
8,2023-01-12,Sat,Matchweek 29,Home,L 0–2,Chelsea,Aston Villa,N,"On matchday squad, but did not play",/en/matches/870fa8c9/Chelsea-Aston-Villa-April-1-2023-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
9,2023-01-12,Tue,Matchweek 8,Home,D 0–0,Chelsea,Liverpool,N,"On matchday squad, but did not play",/en/matches/1028e683/Chelsea-Liverpool-April-4-2023-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
10,2023-01-12,Sat,Matchweek 30,Away,L 0–1,Chelsea,Wolves,N,"On matchday squad, but did not play",/en/matches/aa1fa8dc/Wolverhampton-Wanderers-Chelsea-April-8-2023-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
11,2023-01-12,Sat,Matchweek 31,Home,L 1–2,Chelsea,Brighton,Y,CB,90,71,12,49,21,2,0,71,0,0,,0,,43,156,52,0,0,0,0,0,47,0,/en/matches/18e7d354/Chelsea-Brighton-and-Hove-Albion-April-15-2023-Premier-League
12,2023-01-12,Wed,Matchweek 33,Home,L 0–2,Chelsea,Brentford,N,"On matchday squad, but did not play",/en/matches/071b5820/Chelsea-Brentford-April-26-2023-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
13,2023-01-12,Tue,Matchweek 34,Away,L 1–3,Chelsea,Arsenal,N,"On matchday squad, but did not play",/en/matches/2d551ff5/North-West-London-Derby-Arsenal-Chelsea-May-2-2023-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
14,2023-01-12,Sat,Matchweek 35,Away,W 3–1,Chelsea,Bournemouth,Y,CB,90,107,6,46,56,5,3,107,1,1,100.0,0,0.0,59,320,195,1,1,0,0,0,83,0,/en/matches/6116824f/Bournemouth-Chelsea-May-6-2023-Premier-League
15,2023-01-12,Sat,Matchweek 36,Home,D 2–2,Chelsea,Nott'ham Forest,Y,CB,90,110,8,44,63,3,1,110,0,0,,0,,75,368,209,1,0,0,1,2,77,1,/en/matches/96ab0b45/Chelsea-Nottingham-Forest-May-13-2023-Premier-League
