,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2022-08-07,Sun,Premier League,Matchweek 1,Home,L 0–2,West Ham,Manchester City,N,RM,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,/en/matches/ece62baf/West-Ham-United-Manchester-City-August-7-2022-Premier-League
1,2022-08-18,Thu,Conf Lg,Play-off round,Home,W 3–1,eng West Ham,dk Viborg,N,,7,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/3d017f98/West-Ham-United-Viborg-August-18-2022-Europa-Conference-League
2,2022-08-25,Thu,Conf Lg,Play-off round,Away,W 3–0,eng West Ham,dk Viborg,N,,23,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/186dcc75/Viborg-West-Ham-United-August-25-2022-Europa-Conference-League
3,2022-09-08,Thu,Conf Lg,Group stage,Home,W 3–1,eng West Ham,ro FCSB,Y,RM,90,0,0,0,0,0,0,0,0,69,3,1,0,0.0,0.0,0.1,4,0,58,64,90.6,2,21,2,1,1,/en/matches/174368b2/West-Ham-United-FCSB-September-8-2022-Europa-Conference-League
4,2022-10-06,Thu,Conf Lg,Group stage,Away,W 1–0,eng West Ham,be Anderlecht,Y,CM,90,0,0,0,0,1,0,1,0,74,5,2,1,0.1,0.1,0.0,3,0,61,67,91.0,4,40,0,0,0,/en/matches/e89660f6/Anderlecht-West-Ham-United-October-6-2022-Europa-Conference-League
5,2022-10-09,Sun,Premier League,Matchweek 10,Home,W 3–1,West Ham,Fulham,N,AM,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,/en/matches/42e38f9d/West-Ham-United-Fulham-October-9-2022-Premier-League
6,2022-10-13,Thu,Conf Lg,Group stage,Home,W 2–1,eng West Ham,be Anderlecht,Y,CM,90,0,0,0,0,0,0,1,0,68,5,2,1,0.0,0.0,0.0,1,0,54,59,91.5,2,42,0,2,1,/en/matches/ee2454c5/West-Ham-United-Anderlecht-October-13-2022-Europa-Conference-League
7,2022-10-19,Wed,Premier League,Matchweek 12,Away,L 0–1,West Ham,Liverpool,Y,RM,73,0,0,0,0,1,0,0,0,29,0,0,4,0.1,0.1,0.0,3,0,14,21,66.7,2,14,0,0,0,/en/matches/dba5c5ec/Liverpool-West-Ham-United-October-19-2022-Premier-League
8,2022-10-24,Mon,Premier League,Matchweek 13,Home,W 2–0,West Ham,Bournemouth,Y,AM,87,0,0,0,0,1,0,0,0,33,3,0,1,0.1,0.1,0.0,2,0,20,24,83.3,1,15,0,0,0,/en/matches/e9d1a18b/West-Ham-United-Bournemouth-October-24-2022-Premier-League
9,2022-10-27,Thu,Conf Lg,Group stage,Home,W 1–0,eng West Ham,dk Silkeborg,N,CM,23,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,18,18,100.0,3,11,1,1,1,/en/matches/2a93e308/West-Ham-United-Silkeborg-October-27-2022-Europa-Conference-League
