,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-06,Sat,Premier League,Matchweek 1,Home,D 2–2,Fulham,Liverpool,Y,RW,65,0,0,0,0,1.0,0.0,0,0,23.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,11.0,15.0,73.3,1.0,19.0,0.0,2.0,1.0,/en/matches/6713c1dc/Fulham-Liverpool-August-6-2022-Premier-League,0.5,0.5,0.5111111111111111
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2022-08-13,Sat,Premier League,Matchweek 2,Away,D 0–0,Fulham,Wolves,Y,LW,82,0,0,0,0,2.0,1.0,0,0,36.0,2.0,0.0,3.0,0.1,0.1,0.0,1.0,0.0,13.0,22.0,59.1,4.0,22.0,8.0,3.0,2.0,/en/matches/669b1665/Wolverhampton-Wanderers-Fulham-August-13-2022-Premier-League,0.5,0.5,0.4880952380952381
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2022-08-27,Sat,Premier League,Matchweek 4,Away,L 1–2,Fulham,Arsenal,Y,LW,68,0,0,0,0,0.0,0.0,0,0,20.0,2.0,0.0,2.0,0.0,0.0,0.2,2.0,0.0,7.0,11.0,63.6,0.0,12.0,3.0,1.0,0.0,/en/matches/8b69fd2d/Arsenal-Fulham-August-27-2022-Premier-League,0.0,0.5,0.9285714285714286
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2022-08-30,Tue,Premier League,Matchweek 5,Home,W 2–1,Fulham,Brighton,Y,LW,90,0,1,0,0,2.0,0.0,0,0,35.0,2.0,0.0,2.0,0.0,0.0,0.4,2.0,1.0,20.0,25.0,80.0,3.0,20.0,6.0,6.0,2.0,/en/matches/361f4461/Fulham-Brighton-and-Hove-Albion-August-30-2022-Premier-League,1.0,0.3333333333333333,0.8000000000000002
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2022-09-03,Sat,Premier League,Matchweek 6,Away,L 1–2,Fulham,Tottenham,Y,LW,59,0,0,0,0,1.0,0.0,0,0,22.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,13.0,17.0,76.5,1.0,13.0,1.0,1.0,0.0,/en/matches/a497b725/Tottenham-Hotspur-Fulham-September-3-2022-Premier-League,0.0,0.5,0.7820512820512822
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2022-09-16,Fri,Premier League,Matchweek 8,Away,W 3–2,Fulham,Nott'ham Forest,N,LW,1,0,0,0,0,1.0,0.0,0,0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,4.0,0.0,0.0,0.0,/en/matches/d0d07e66/Nottingham-Forest-Fulham-September-16-2022-Premier-League,1.0,0.3333333333333333,0.1562499999999999
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2022-09-23,Fri,Friendlies (M),Friendlies (M),Neutral,L 0–1,cd Congo DR,bf Burkina Faso,Y*,RW,18,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/32f52b80/Congo-DR-Burkina-Faso-September-23-2022-Friendlies-M,0.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2022-10-01,Sat,Premier League,Matchweek 9,Home,L 1–4,Fulham,Newcastle Utd,N,WB,21,0,1,0,0,0.0,0.0,0,0,17.0,1.0,0.0,2.0,0.0,0.0,0.3,1.0,1.0,7.0,12.0,58.3,2.0,10.0,3.0,1.0,0.0,/en/matches/dcde1172/Fulham-Newcastle-United-October-1-2022-Premier-League,0.0,0.3333333333333333,0.4999999999999999
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2022-10-09,Sun,Premier League,Matchweek 10,Away,L 1–3,Fulham,West Ham,Y,LW,88,0,1,0,0,0.0,0.0,0,0,36.0,2.0,0.0,1.0,0.0,0.0,0.3,4.0,1.0,19.0,24.0,79.2,4.0,23.0,3.0,1.0,0.0,/en/matches/42e38f9d/West-Ham-United-Fulham-October-9-2022-Premier-League,0.0,0.3333333333333333,0.7142857142857143
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022-10-15,Sat,Premier League,Matchweek 11,Home,D 2–2,Fulham,Bournemouth,Y,LW,61,0,0,0,0,1.0,0.0,0,0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,19.0,84.2,2.0,17.0,3.0,0.0,0.0,/en/matches/ab7f61dd/Fulham-Bournemouth-October-15-2022-Premier-League,0.5,0.0,0.6888888888888889
