,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–5,Aston Villa,Newcastle Utd,Y,"AM,FW,RW",86,1,0,0,0,3.0,2.0,0,0,30.0,1.0,0.0,0.0,0.3,0.3,0.3,4.0,0.0,21.0,24.0,87.5,5.0,21.0,5.0,2.0,2.0,/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 4–0,Aston Villa,Everton,Y,AM,63,0,0,0,0,3.0,2.0,0,0,33.0,0.0,0.0,1.0,0.3,0.3,0.4,3.0,1.0,17.0,20.0,85.0,3.0,24.0,3.0,2.0,0.0,/en/matches/959b558d/Aston-Villa-Everton-August-20-2023-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-08-23,Wed,Conf Lg,Play-off round,Away,W 5–0,eng Aston Villa,sct Hibernian,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/f36a1b2f/Hibernian-Aston-Villa-August-23-2023-Europa-Conference-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 3–1,Aston Villa,Burnley,Y,AM,72,1,1,0,0,2.0,1.0,0,0,32.0,0.0,0.0,0.0,0.2,0.2,0.7,2.0,1.0,22.0,25.0,88.0,1.0,15.0,2.0,1.0,1.0,/en/matches/b66a7def/Burnley-Aston-Villa-August-27-2023-Premier-League,1.0,0.6666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-03,Sun,Premier League,Matchweek 4,Away,L 0–3,Aston Villa,Liverpool,Y,FW,90,0,0,0,0,1.0,0.0,0,0,29.0,0.0,1.0,0.0,0.1,0.1,0.1,2.0,0.0,18.0,21.0,85.7,3.0,13.0,2.0,5.0,1.0,/en/matches/bdbc722e/Liverpool-Aston-Villa-September-3-2023-Premier-League,0.0,1.0,0.7604166666666667
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-16,Sat,Premier League,Matchweek 5,Home,W 3–1,Aston Villa,Crystal Palace,Y,"AM,LM",90,0,1,0,0,2.0,0.0,0,0,39.0,0.0,0.0,0.0,0.1,0.1,0.8,2.0,1.0,23.0,33.0,69.7,6.0,34.0,4.0,0.0,0.0,/en/matches/bc77340e/Aston-Villa-Crystal-Palace-September-16-2023-Premier-League,1.0,0.6666666666666666,0.761904761904762
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-21,Thu,Conf Lg,Group stage,Away,L 2–3,eng Aston Villa,pl Legia Warsaw,N,AM,30,0,0,0,0,1.0,1.0,1,0,12.0,0.0,0.0,0.0,0.2,0.2,0.1,2.0,0.0,9.0,10.0,90.0,1.0,9.0,0.0,0.0,0.0,/en/matches/59e37c79/Legia-Warsaw-Aston-Villa-September-21-2023-Europa-Conference-League,0.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-09-24,Sun,Premier League,Matchweek 6,Away,W 1–0,Aston Villa,Chelsea,Y,"AM,FW",80,0,0,0,0,2.0,1.0,0,0,26.0,1.0,0.0,1.0,0.2,0.2,0.1,2.0,0.0,17.0,19.0,89.5,1.0,19.0,3.0,1.0,0.0,/en/matches/7d2c5e05/Chelsea-Aston-Villa-September-24-2023-Premier-League,1.0,0.3333333333333333,0.4888888888888889
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-09-27,Wed,EFL Cup,Third round,Home,L 1–2,Aston Villa,Everton,Y,AM,90,0,0,0,0,2.0,2.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/91394c43/Aston-Villa-Everton-September-27-2023-EFL-Cup,0.0,0.6666666666666666,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-09-30,Sat,Premier League,Matchweek 7,Home,W 6–1,Aston Villa,Brighton,Y,AM,78,0,1,0,0,5.0,2.0,0,0,27.0,0.0,0.0,0.0,0.4,0.4,0.1,3.0,1.0,13.0,17.0,76.5,2.0,16.0,2.0,5.0,4.0,/en/matches/2df9a3a1/Aston-Villa-Brighton-and-Hove-Albion-September-30-2023-Premier-League,1.0,0.3333333333333333,0.5625
