,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Match Report,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,PassLive,PassDead,TO,Fld,Def,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Lost,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,Tkld,Tkld%,CPA,Mis,Dis,Rec,PrgR,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
0,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 2–0,Tottenham,Manchester Utd,N,DM,15,0,0,0,0,0,0,0,0,27,0,0,2,0.0,0.0,0.0,0,0,23,25,92.0,0,17,0,1,https://fbref.com/en/matches/4bb62251/Tottenham-Hotspur-Manchester-United-August-19-2023-Premier-League,378,76,0.0,0,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,100.0,0,0.0,0,0,0,23,1,0,0,0,0,0,2,0,0.0
1,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 2–0,Tottenham,Bournemouth,N,DM,31,0,0,0,0,0,0,0,0,47,1,0,1,0.0,0.0,0.0,0,0,40,43,93.0,2,36,0,1,https://fbref.com/en/matches/f49c4ad2/Bournemouth-Tottenham-Hotspur-August-26-2023-Premier-League,599,268,0.2,0,4,1,0,42,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100.0,0,1,1,1,0,1,0,50.0,1,50.0,0,0,0,37,0,0,0,0,0,0,3,0,0.0
2,2023-08-29,Tue,EFL Cup,Second round,Away,D 1 (3)–1 (5),Tottenham,Fulham,Y,DM,120,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,https://fbref.com/en/matches/2ec5a2ca/Fulham-Tottenham-Hotspur-August-29-2023-EFL-Cup,,,,,,,,,,,,,0,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0,1,,,0,,,
3,2023-09-02,Sat,Premier League,Matchweek 4,Away,W 5–2,Tottenham,Burnley,N,"DM,RM",23,0,0,0,0,0,0,1,0,20,0,0,0,0.0,0.0,0.0,0,0,15,17,88.2,3,10,0,0,https://fbref.com/en/matches/f1786fb8/Burnley-Tottenham-Hotspur-September-2-2023-Premier-League,294,103,0.0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,3,0,,0,,0,1,0,16,0,0,1,0,0,0,0,0,
4,2023-09-07,Thu,Euro Qualifying,Group stage,Home,W 4–0,dk Denmark,sm San Marino,Y,CM,58,1,0,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,https://fbref.com/en/matches/a3a9342c/Denmark-San-Marino-September-7-2023-Euro-Qualifying,,,,,,,,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,1,,,0,,,
5,2023-09-10,Sun,Euro Qualifying,Group stage,Away,W 1–0,dk Denmark,fi Finland,Y,DM,90,1,0,0,0,2,1,0,0,,,1,,,,,,,,,,,,,,https://fbref.com/en/matches/17b0b49f/Finland-Denmark-September-10-2023-Euro-Qualifying,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,
6,2023-09-16,Sat,Premier League,Matchweek 5,Home,W 2–1,Tottenham,Sheffield Utd,N,CB,1,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,4,0,0,https://fbref.com/en/matches/e56e96e1/Tottenham-Hotspur-Sheffield-United-September-16-2023-Premier-League,95,32,0.0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,,0,,0,0,0,5,1,0,0,0,0,0,1,0,
7,2023-09-24,Sun,Premier League,Matchweek 6,Away,D 2–2,Tottenham,Arsenal,N,LM,13,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,11,15,73.3,1,11,0,0,https://fbref.com/en/matches/08947a10/North-London-Derby-Arsenal-Tottenham-Hotspur-September-24-2023-Premier-League,209,82,0.0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,13,0,0,0,0,0,0,2,0,
8,2023-09-30,Sat,Premier League,Matchweek 7,Home,W 2–1,Tottenham,Liverpool,N,DM,1,0,0,0,0,1,0,0,0,14,0,0,0,0.0,0.0,0.0,2,0,13,13,100.0,3,11,0,0,https://fbref.com/en/matches/ec4145b4/Tottenham-Hotspur-Liverpool-September-30-2023-Premier-League,329,96,0.0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,,0,,0,0,0,12,1,0,0,0,0,0,2,0,
9,2023-10-07,Sat,Premier League,Matchweek 8,Away,W 1–0,Tottenham,Luton Town,N,"DM,CM",45,0,0,0,0,1,0,1,0,35,1,1,1,0.1,0.1,0.0,0,0,21,28,75.0,0,14,0,0,https://fbref.com/en/matches/d021f28f/Luton-Town-Tottenham-Hotspur-October-7-2023-Premier-League,310,111,0.0,0,2,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,1,0,2,1,0,1,0,,0,,0,1,0,21,1,0,1,0,0,0,5,0,0.0
