,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-14,Sat,Premier League,Matchweek 1,Home,L 1–2,Burnley,Brighton,Y,"CM,DM",90,0,1,0,0,0,0,0,0,45.0,1.0,1,1.0,0.0,0.0,0.6,4.0,1.0,23.0,40.0,57.5,7.0,17.0,2.0,0.0,0.0,/en/matches/4eb36e37/Burnley-Brighton-and-Hove-Albion-August-14-2021-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-29,Sun,Premier League,Matchweek 3,Home,D 1–1,Burnley,Leeds United,Y,CM,90,0,0,0,0,0,0,0,0,48.0,1.0,2,2.0,0.0,0.0,0.1,2.0,0.0,29.0,44.0,65.9,3.0,30.0,1.0,1.0,1.0,/en/matches/2e5db698/Burnley-Leeds-United-August-29-2021-Premier-League,0.5,0.5,0.5128205128205128
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-09-13,Mon,Premier League,Matchweek 4,Away,L 1–3,Burnley,Everton,Y,CM,90,0,0,0,0,0,0,0,0,76.0,3.0,2,0.0,0.0,0.0,0.2,4.0,0.0,53.0,71.0,74.6,5.0,35.0,0.0,1.0,1.0,/en/matches/668b2f97/Everton-Burnley-September-13-2021-Premier-League,0.0,0.5,0.7380952380952381
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-18,Sat,Premier League,Matchweek 5,Home,L 0–1,Burnley,Arsenal,Y,CM,90,0,0,0,0,3,1,1,0,74.0,0.0,2,3.0,0.1,0.1,0.1,4.0,0.0,45.0,63.0,71.4,9.0,33.0,1.0,0.0,0.0,/en/matches/a427debc/Burnley-Arsenal-September-18-2021-Premier-League,0.0,0.1666666666666666,0.6666666666666667
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-21,Tue,EFL Cup,Third round,Home,W 4–1,Burnley,Rochdale,Y,CM,77,0,1,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/05af5985/Burnley-Rochdale-September-21-2021-EFL-Cup,1.0,0.1666666666666666,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-25,Sat,Premier League,Matchweek 6,Away,D 2–2,Burnley,Leicester City,Y,CM,90,0,0,0,0,1,0,1,0,52.0,0.0,2,0.0,0.1,0.1,0.1,2.0,1.0,32.0,47.0,68.1,5.0,18.0,0.0,1.0,1.0,/en/matches/2d61f328/Leicester-City-Burnley-September-25-2021-Premier-League,0.5,0.3333333333333333,0.3214285714285713
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-10-02,Sat,Premier League,Matchweek 7,Home,D 0–0,Burnley,Norwich City,Y,CM,90,0,0,0,0,0,0,0,0,93.0,3.0,1,0.0,0.0,0.0,0.4,5.0,0.0,65.0,86.0,75.6,11.0,45.0,1.0,1.0,0.0,/en/matches/9231df9a/Burnley-Norwich-City-October-2-2021-Premier-League,0.5,0.5,0.0595238095238095
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-10-16,Sat,Premier League,Matchweek 8,Away,L 0–2,Burnley,Manchester City,Y,CM,90,0,0,0,0,0,0,0,0,56.0,0.0,2,1.0,0.0,0.0,0.1,1.0,0.0,38.0,47.0,80.9,3.0,33.0,0.0,1.0,1.0,/en/matches/55778d0d/Manchester-City-Burnley-October-16-2021-Premier-League,0.0,0.6666666666666666,0.5714285714285715
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-10-23,Sat,Premier League,Matchweek 9,Away,D 2–2,Burnley,Southampton,Y,CM,90,0,1,0,0,1,0,1,0,45.0,0.0,1,0.0,0.1,0.1,0.1,2.0,1.0,25.0,40.0,62.5,4.0,14.0,2.0,1.0,1.0,/en/matches/d5164fbe/Southampton-Burnley-October-23-2021-Premier-League,0.5,0.3333333333333333,0.4880952380952381
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-10-30,Sat,Premier League,Matchweek 10,Home,W 3–1,Burnley,Brentford,Y,CM,90,0,0,0,0,0,0,0,0,64.0,1.0,3,1.0,0.0,0.0,0.8,5.0,2.0,39.0,58.0,67.2,8.0,31.0,1.0,2.0,1.0,/en/matches/c8915e9e/Burnley-Brentford-October-30-2021-Premier-League,1.0,0.3333333333333333,0.4404761904761903
