,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-07,Sun,Premier League,Matchweek 1,Away,D 2–2,Brentford,Leicester City,Y,LB,90,0,1,0,0,0,0,0,0,46.0,0.0,0,1.0,0.0,0.0,0.3,1.0,1.0,31.0,42.0,73.8,1.0,24.0,0.0,0.0,0.0,/en/matches/3249ba27/Leicester-City-Brentford-August-7-2022-Premier-League,0.5,0.5,0.5277777777777778
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2022-08-13,Sat,Premier League,Matchweek 2,Home,W 4–0,Brentford,Manchester Utd,Y,LB,90,0,0,0,0,3,1,0,0,28.0,0.0,1,0.0,0.1,0.1,0.0,0.0,0.0,12.0,17.0,70.6,1.0,9.0,0.0,0.0,0.0,/en/matches/04712d4e/Brentford-Manchester-United-August-13-2022-Premier-League,1.0,0.5,0.4375
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2022-08-20,Sat,Premier League,Matchweek 3,Away,L 2–3,Brentford,Fulham,Y,"LB,LM",90,0,0,0,0,1,0,0,0,58.0,2.0,0,2.0,0.1,0.1,0.0,0.0,0.0,33.0,48.0,68.8,3.0,29.0,1.0,1.0,1.0,/en/matches/a107c037/Fulham-Brentford-August-20-2022-Premier-League,0.0,0.5,0.511904761904762
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2022-08-27,Sat,Premier League,Matchweek 4,Home,D 1–1,Brentford,Everton,Y,"LB,WB",90,0,0,0,0,0,0,0,0,57.0,1.0,1,2.0,0.0,0.0,0.2,3.0,0.0,33.0,48.0,68.8,3.0,28.0,2.0,0.0,0.0,/en/matches/db59fc65/Brentford-Everton-August-27-2022-Premier-League,0.5,0.5,0.3888888888888889
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2022-08-30,Tue,Premier League,Matchweek 5,Away,D 1–1,Brentford,Crystal Palace,Y,"LB,LM",90,0,0,0,0,1,1,0,0,60.0,0.0,2,0.0,0.2,0.2,0.0,2.0,0.0,39.0,48.0,81.3,8.0,33.0,3.0,3.0,0.0,/en/matches/e1d6440f/Crystal-Palace-Brentford-August-30-2022-Premier-League,0.5,0.5,0.611111111111111
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2022-09-03,Sat,Premier League,Matchweek 6,Home,W 5–2,Brentford,Leeds United,Y,"LB,WB",90,0,0,0,0,1,0,0,0,36.0,1.0,0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,22.0,54.5,2.0,16.0,1.0,5.0,3.0,/en/matches/88f9aad9/Brentford-Leeds-United-September-3-2022-Premier-League,1.0,0.3333333333333333,0.5520833333333334
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2022-09-18,Sun,Premier League,Matchweek 8,Home,L 0–3,Brentford,Arsenal,Y,WB,90,0,0,0,0,0,0,0,0,34.0,3.0,0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,25.0,68.0,3.0,18.0,3.0,0.0,0.0,/en/matches/fd5626e6/Brentford-Arsenal-September-18-2022-Premier-League,0.0,0.6666666666666666,0.7083333333333333
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2022-10-01,Sat,Premier League,Matchweek 9,Away,D 0–0,Brentford,Bournemouth,Y,LB,90,0,0,0,0,0,0,0,0,41.0,5.0,1,0.0,0.0,0.0,0.0,2.0,0.0,29.0,31.0,93.5,2.0,25.0,3.0,1.0,1.0,/en/matches/f2e86b27/Bournemouth-Brentford-October-1-2022-Premier-League,0.5,0.5,0.611111111111111
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2022-10-08,Sat,Premier League,Matchweek 10,Away,L 1–5,Brentford,Newcastle Utd,Y,"WB,LB,RB",90,0,0,0,0,0,0,0,0,36.0,1.0,2,0.0,0.0,0.0,0.0,1.0,0.0,19.0,29.0,65.5,1.0,20.0,3.0,1.0,1.0,/en/matches/7dd42d3f/Newcastle-United-Brentford-October-8-2022-Premier-League,0.0,0.5,0.6145833333333333
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022-10-14,Fri,Premier League,Matchweek 11,Home,W 2–0,Brentford,Brighton,Y,LB,86,0,0,0,0,0,0,0,0,30.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,69.6,1.0,8.0,0.0,0.0,0.0,/en/matches/69409682/Brentford-Brighton-and-Hove-Albion-October-14-2022-Premier-League,1.0,0.1666666666666666,0.4523809523809523
