,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,Y,"LM,RM",90,0,0,0,0,4.0,2.0,0,0,44.0,1.0,1.0,2.0,0.3,0.3,0.1,11.0,0.0,22.0,30.0,73.3,4.0,25.0,3.0,4.0,3.0,/en/matches/15addfc7/Everton-Fulham-August-12-2023-Premier-League,0.0,0.5
1,1,2023-08-20,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,Y,"LM,RM",50,0,0,0,0,0.0,0.0,0,0,14.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,5.0,12.0,41.7,0.0,8.0,3.0,0.0,0.0,/en/matches/959b558d/Aston-Villa-Everton-August-20-2023-Premier-League,0.0,0.5
2,2,2023-09-16,Sat,Premier League,Matchweek 5,Home,W 1–0,Fulham,Luton Town,N,RM,29,0,0,0,0,2.0,0.0,0,0,33.0,1.0,0.0,0.0,0.1,0.1,0.0,3.0,1.0,26.0,31.0,83.9,3.0,19.0,1.0,1.0,0.0,/en/matches/48b1bdc7/Fulham-Luton-Town-September-16-2023-Premier-League,1.0,0.5
3,3,2023-09-23,Sat,Premier League,Matchweek 6,Away,D 0–0,Fulham,Crystal Palace,N,LM,16,0,0,0,0,0.0,0.0,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,11.0,81.8,3.0,8.0,1.0,0.0,0.0,/en/matches/cf0b2b19/Crystal-Palace-Fulham-September-23-2023-Premier-League,0.5,0.3333333333333333
4,4,2023-09-27,Wed,EFL Cup,Third round,Home,W 2–1,Fulham,Norwich City,Y,FW,90,1,0,0,0,3.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/a83ae0f3/Fulham-Norwich-City-September-27-2023-EFL-Cup,1.0,0.5
5,5,2023-10-02,Mon,Premier League,Matchweek 7,Home,L 0–2,Fulham,Chelsea,N,RW,37,0,0,0,0,2.0,0.0,0,0,29.0,2.0,0.0,0.0,0.2,0.2,0.1,1.0,0.0,15.0,24.0,62.5,2.0,16.0,3.0,0.0,0.0,/en/matches/c9787e60/Fulham-Chelsea-October-2-2023-Premier-League,0.0,0.8333333333333334
6,6,2023-10-07,Sat,Premier League,Matchweek 8,Home,W 3–1,Fulham,Sheffield Utd,Y,RM,78,0,0,0,0,1.0,0.0,0,0,47.0,1.0,0.0,0.0,0.1,0.1,0.1,4.0,0.0,35.0,42.0,83.3,6.0,31.0,1.0,0.0,0.0,/en/matches/ffc59ea8/Fulham-Sheffield-United-October-7-2023-Premier-League,1.0,0.5
7,7,2023-10-13,Fri,Friendlies (M),Friendlies (M),Neutral,D 2–2,ng Nigeria,sa Saudi Arabia,Y,CM,77,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/9baf7b4b/Saudi-Arabia-Nigeria-October-13-2023-Friendlies-M,0.5,0.6666666666666666
8,8,2023-10-23,Mon,Premier League,Matchweek 9,Away,L 0–2,Fulham,Tottenham,N,AM,45,0,0,0,0,1.0,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0.0,0.2,1.0,0.0,22.0,24.0,91.7,1.0,21.0,0.0,0.0,0.0,/en/matches/8c6293a3/Tottenham-Hotspur-Fulham-October-23-2023-Premier-League,0.0,0.5
9,9,2023-10-29,Sun,Premier League,Matchweek 10,Away,D 1–1,Fulham,Brighton,Y,"AM,DM,LW",89,0,0,0,0,1.0,1.0,0,0,33.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,22.0,23.0,95.7,5.0,21.0,1.0,6.0,5.0,/en/matches/a0c422e9/Brighton-and-Hove-Albion-Fulham-October-29-2023-Premier-League,0.5,0.5
10,10,2023-11-01,Wed,EFL Cup,Fourth round,Away,W 3–1,Fulham,Ipswich Town,N,,22,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/f5d39bb6/Ipswich-Town-Fulham-November-1-2023-EFL-Cup,1.0,0.3333333333333333
11,11,2023-11-04,Sat,Premier League,Matchweek 11,Home,L 0–1,Fulham,Manchester Utd,Y,"DM,AM,LW",88,0,0,0,0,3.0,0.0,1,0,44.0,1.0,2.0,0.0,0.2,0.2,0.1,6.0,0.0,30.0,34.0,88.2,3.0,30.0,5.0,5.0,4.0,/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,0.0,0.5
12,12,2023-11-12,Sun,Premier League,Matchweek 12,Away,L 1–3,Fulham,Aston Villa,Y,DM,81,0,0,0,0,2.0,1.0,1,0,53.0,2.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,32.0,38.0,84.2,2.0,31.0,0.0,4.0,2.0,/en/matches/d6a70a44/Aston-Villa-Fulham-November-12-2023-Premier-League,0.0,0.5
