,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2020-09-20,Sat,Matchweek 4,Away,L 1–3,Burnley,Newcastle Utd,N,FW,14,3,0,0,2,1,1,3,0,0,,0,,3,6,5,0,0,0,1,0,3,1,/en/matches/34ba607f/Newcastle-United-Burnley-October-3-2020-Premier-League
1,2020-09-20,Mon,Matchweek 5,Away,D 0–0,Burnley,West Brom,N,"On matchday squad, but did not play",/en/matches/13f3ae88/West-Bromwich-Albion-Burnley-October-19-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
2,2020-09-20,Mon,Matchweek 6,Home,L 0–1,Burnley,Tottenham,N,FW,2,2,0,0,1,1,0,2,0,0,,0,,1,0,0,0,0,0,1,0,1,0,/en/matches/4931660e/Burnley-Tottenham-Hotspur-October-26-2020-Premier-League
3,2020-09-20,Sat,Matchweek 7,Home,L 0–3,Burnley,Chelsea,N,"On matchday squad, but did not play",/en/matches/0f158c5c/Burnley-Chelsea-October-31-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
4,2020-09-20,Fri,Matchweek 8,Away,D 0–0,Burnley,Brighton,N,FW,8,4,0,0,2,2,1,4,0,0,,0,,1,12,7,1,0,0,0,0,2,2,/en/matches/c23d7844/Brighton-and-Hove-Albion-Burnley-November-6-2020-Premier-League
5,2020-09-20,Mon,Matchweek 9,Home,W 1–0,Burnley,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/1dde1d03/Burnley-Crystal-Palace-November-23-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
6,2020-09-20,Sat,Matchweek 10,Away,L 0–5,Burnley,Manchester City,N,FW,10,5,0,0,3,2,1,5,0,0,,0,,2,3,0,0,0,0,0,1,2,0,/en/matches/2069ffbc/Manchester-City-Burnley-November-28-2020-Premier-League
7,2020-09-20,Sat,Matchweek 11,Home,D 1–1,Burnley,Everton,N,"On matchday squad, but did not play",/en/matches/399c7e1c/Burnley-Everton-December-5-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
8,2020-09-20,Sun,Matchweek 12,Away,W 1–0,Burnley,Arsenal,N,FW,21,8,1,2,1,5,2,8,1,0,0.0,1,100.0,4,9,0,0,0,0,0,0,4,1,/en/matches/e4dc55d0/Arsenal-Burnley-December-13-2020-Premier-League
9,2020-09-20,Thu,Matchweek 13,Away,D 0–0,Burnley,Aston Villa,N,FW,9,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,/en/matches/5d89f60c/Aston-Villa-Burnley-December-17-2020-Premier-League
10,2020-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2020-09-20,Tue,Matchweek 1,Home,L 0–1,Burnley,Manchester Utd,N,,11,7,0,0,3,4,4,7,0,0,,0,,3,5,4,0,0,0,1,0,5,2,/en/matches/2c8aa556/Burnley-Manchester-United-January-12-2021-Premier-League
12,2020-09-20,Sat,Matchweek 19,Away,L 0–1,Burnley,West Ham,N,FW,28,5,0,0,3,2,0,5,0,0,,0,,2,17,0,0,0,0,0,1,6,3,/en/matches/1b06e352/West-Ham-United-Burnley-January-16-2021-Premier-League
13,2020-09-20,Thu,Matchweek 18,Away,W 1–0,Burnley,Liverpool,N,"On matchday squad, but did not play",/en/matches/787d11cc/Liverpool-Burnley-January-21-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
