,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2023-08-11,Fri,Coppa Italia,First round,Home,W 4–1,Udinese,Catanzaro,Y,FW,72,1,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/b5d04f79/Udinese-Catanzaro-August-11-2023-Coppa-Italia
1,2023-08-20,Sun,Serie A,Matchweek 1,Home,L 0–3,Udinese,Juventus,Y,FW,74,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.3,6,0,10,11,90.9,2,15,0,3,2,/en/matches/8b6e8a62/Udinese-Juventus-August-20-2023-Serie-A
2,2023-08-30,Wed,EFL Cup,Second round,Away,W 2–1,Everton,Doncaster,N,,45,1,0,0,0,4,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/17275060/Doncaster-Rovers-Everton-August-30-2023-EFL-Cup
3,2023-09-02,Sat,Premier League,Matchweek 4,Away,D 2–2,Everton,Sheffield Utd,Y,FW,90,0,0,0,0,4,0,0,0,40,3,0,0,0.3,0.3,0.2,9,1,10,19,52.6,2,22,3,9,6,/en/matches/87b46bb9/Sheffield-United-Everton-September-2-2023-Premier-League
4,2023-09-17,Sun,Premier League,Matchweek 5,Home,L 0–1,Everton,Arsenal,Y,FW,65,0,0,0,0,0,0,0,0,17,0,0,3,0.0,0.0,0.1,1,0,6,9,66.7,0,8,0,1,0,/en/matches/b1278924/Everton-Arsenal-September-17-2023-Premier-League
5,2023-09-23,Sat,Premier League,Matchweek 6,Away,W 3–1,Everton,Brentford,Y,FW,62,0,0,0,0,4,1,0,0,32,1,0,2,0.4,0.4,0.0,3,0,10,18,55.6,3,16,1,0,0,/en/matches/96681b93/Brentford-Everton-September-23-2023-Premier-League
6,2023-09-27,Wed,EFL Cup,Third round,Away,W 2–1,Everton,Aston Villa,N,,19,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/91394c43/Aston-Villa-Everton-September-27-2023-EFL-Cup
7,2023-09-30,Sat,Premier League,Matchweek 7,Home,L 1–2,Everton,Luton Town,N,FW,31,0,0,0,0,4,0,0,0,14,0,0,0,0.4,0.4,0.0,0,0,3,4,75.0,1,8,0,1,1,/en/matches/921d5f17/Everton-Luton-Town-September-30-2023-Premier-League
8,2023-10-07,Sat,Premier League,Matchweek 8,Home,W 3–0,Everton,Bournemouth,N,FW,8,0,0,0,0,1,0,0,0,5,0,0,0,0.3,0.3,0.0,1,0,2,3,66.7,0,4,0,2,1,/en/matches/497b9558/Everton-Bournemouth-October-7-2023-Premier-League
9,2023-10-21,Sat,Premier League,Matchweek 9,Away,L 0–2,Everton,Liverpool,N,FW,30,0,0,0,0,1,0,0,0,16,2,0,0,0.0,0.0,0.0,2,0,3,9,33.3,1,8,1,3,1,/en/matches/e747ddb3/Merseyside-Derby-Liverpool-Everton-October-21-2023-Premier-League
10,2023-11-01,Wed,EFL Cup,Fourth round,Home,W 3–0,Everton,Burnley,N,,23,0,1,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/e8781636/Everton-Burnley-November-1-2023-EFL-Cup
11,2023-11-04,Sat,Premier League,Matchweek 11,Home,D 1–1,Everton,Brighton,N,FW,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,/en/matches/6ecb53ac/Everton-Brighton-and-Hove-Albion-November-4-2023-Premier-League
12,2023-11-11,Sat,Premier League,Matchweek 12,Away,W 3–2,Everton,Crystal Palace,N,FW,14,0,0,0,0,1,0,0,0,10,1,0,0,0.1,0.1,0.0,1,0,2,5,40.0,0,3,0,0,0,/en/matches/a4795b68/Crystal-Palace-Everton-November-11-2023-Premier-League
