,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-11,Fri,Premier League,Matchweek 1,Home,L 0–3,Burnley,Manchester City,Y,CB,90,0,0,0,0,0.0,0.0,0,0,51.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,38.0,84.2,3.0,24.0,1.0,0.0,0.0,/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–3,Burnley,Aston Villa,Y,"CB,RB",90,0,0,0,0,0.0,0.0,0,0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,83.0,86.7,8.0,71.0,2.0,1.0,1.0,/en/matches/b66a7def/Burnley-Aston-Villa-August-27-2023-Premier-League,0.0,0.5,0.6222222222222222
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-08-30,Wed,EFL Cup,Second round,Away,W 1–0,Burnley,Nott'ham Forest,N,,56,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/26950ade/Nottingham-Forest-Burnley-August-30-2023-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-09-02,Sat,Premier League,Matchweek 4,Home,L 2–5,Burnley,Tottenham,Y,"RB,WB",90,0,0,0,0,3.0,0.0,0,0,54.0,2.0,3.0,1.0,0.1,0.1,0.0,1.0,0.0,29.0,42.0,69.0,2.0,26.0,1.0,0.0,0.0,/en/matches/f1786fb8/Burnley-Tottenham-Hotspur-September-2-2023-Premier-League,0.0,0.3333333333333333,0.7708333333333335
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-18,Mon,Premier League,Matchweek 5,Away,D 1–1,Burnley,Nott'ham Forest,Y,CB,90,0,0,0,0,1.0,0.0,0,0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,60.0,66.0,90.9,4.0,56.0,1.0,0.0,0.0,/en/matches/ad7ecfad/Nottingham-Forest-Burnley-September-18-2023-Premier-League,0.5,0.3333333333333333,0.5222222222222221
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-23,Sat,Premier League,Matchweek 6,Home,L 0–1,Burnley,Manchester Utd,Y,CB,90,0,0,0,0,0.0,0.0,0,0,128.0,0.0,2.0,0.0,0.0,0.0,0.1,2.0,0.0,109.0,123.0,88.6,10.0,98.0,0.0,0.0,0.0,/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,0.0,0.5,0.282051282051282
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-26,Tue,EFL Cup,Third round,Away,W 4–0,Burnley,Salford City,N,,9,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/145848e6/Salford-City-Burnley-September-26-2023-EFL-Cup,1.0,0.1666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-09-30,Sat,Premier League,Matchweek 7,Away,L 0–2,Burnley,Newcastle Utd,Y,CB,90,0,0,0,0,1.0,1.0,0,0,59.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,38.0,50.0,76.0,0.0,43.0,0.0,0.0,0.0,/en/matches/a79ff136/Newcastle-United-Burnley-September-30-2023-Premier-League,0.0,0.5,0.8111111111111112
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-10-03,Tue,Premier League,Matchweek 2,Away,W 2–1,Burnley,Luton Town,Y,CB,90,0,0,0,0,0.0,0.0,0,0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,26.0,80.8,0.0,18.0,0.0,0.0,0.0,/en/matches/4f7b3f27/Luton-Town-Burnley-October-3-2023-Premier-League,1.0,0.3333333333333333,0.4523809523809524
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-10-07,Sat,Premier League,Matchweek 8,Home,L 1–4,Burnley,Chelsea,Y,CB,45,0,0,0,0,0.0,0.0,0,0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,94.7,0.0,19.0,0.0,0.0,0.0,/en/matches/cfd83ca3/Burnley-Chelsea-October-7-2023-Premier-League,0.0,0.6666666666666666,0.6785714285714286
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2023-10-21,Sat,Premier League,Matchweek 9,Away,L 0–3,Burnley,Brentford,Y,"CB,RB",90,0,0,0,0,0.0,0.0,0,0,52.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,45.0,82.2,1.0,34.0,1.0,1.0,1.0,/en/matches/52781f37/Brentford-Burnley-October-21-2023-Premier-League,0.0,0.3333333333333333,0.2555555555555555
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2023-10-28,Sat,Premier League,Matchweek 10,Away,L 1–2,Burnley,Bournemouth,Y,CB,90,0,0,0,0,0.0,0.0,1,0,73.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,66.0,92.4,1.0,60.0,0.0,0.0,0.0,/en/matches/c4c42d3e/Bournemouth-Burnley-October-28-2023-Premier-League,0.0,0.3333333333333333,0.2333333333333333
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2023-11-01,Wed,EFL Cup,Fourth round,Away,L 0–3,Burnley,Everton,Y,CB,90,0,0,0,0,0.0,0.0,1,0,,,0.0,,,,,,,,,,,,,,,/en/matches/e8781636/Everton-Burnley-November-1-2023-EFL-Cup,0.0,0.0,0.5
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2023-11-15,Wed,Friendlies (M),Friendlies (M),Home,W 1–0,be Belgium,rs Serbia,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/c4e365f3/Belgium-Serbia-November-15-2023-Friendlies-M,1.0,0.0,0.5
