,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2019-09-14,Sat,Matchweek 7,Away,D 2–2,Burnley,Aston Villa,N,LW,8,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/37a51188/Aston-Villa-Burnley-September-28-2019-Premier-League
1,2019-09-14,Sat,Matchweek 8,Home,W 1–0,Burnley,Everton,N,"On matchday squad, but did not play",/en/matches/2f9439d0/Burnley-Everton-October-5-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
2,2019-09-14,Sat,Matchweek 9,Away,L 1–2,Burnley,Leicester City,Y,LM,64,11,21,52.4,147,55,7,8,87.5,4,7,57.1,0,3,0.0,0,0.1,0.0,2,1,1,0,3,/en/matches/3529c097/Leicester-City-Burnley-October-19-2019-Premier-League
3,2019-09-14,Sat,Matchweek 10,Home,L 2–4,Burnley,Chelsea,N,LM,7,7,10,70.0,124,51,3,4,75.0,3,4,75.0,1,1,100.0,2,0.2,0.1,3,1,0,0,1,/en/matches/082dc9ef/Burnley-Chelsea-October-26-2019-Premier-League
4,2019-09-14,Sat,Matchweek 11,Away,L 0–3,Burnley,Sheffield Utd,N,LM,32,8,12,66.7,120,31,6,6,100.0,2,3,66.7,0,2,0.0,0,0.0,0.0,0,1,0,0,1,/en/matches/21606115/Sheffield-United-Burnley-November-2-2019-Premier-League
5,2019-09-14,Sat,Matchweek 12,Home,W 3–0,Burnley,West Ham,N,"RW,FW",1,1,2,50.0,10,2,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,1,0,0,0,/en/matches/559f666e/Burnley-West-Ham-United-November-9-2019-Premier-League
6,2019-09-14,Sat,Matchweek 13,Away,W 3–0,Burnley,Watford,N,"On matchday squad, but did not play",/en/matches/d4aea4c0/Watford-Burnley-November-23-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
7,2019-09-14,Sat,Matchweek 14,Home,L 0–2,Burnley,Crystal Palace,Y,RM,76,11,21,52.4,148,60,8,12,66.7,2,4,50.0,1,3,33.3,0,0.0,0.3,1,1,2,0,3,/en/matches/86428aca/Burnley-Crystal-Palace-November-30-2019-Premier-League
8,2019-09-14,Tue,Matchweek 15,Home,L 1–4,Burnley,Manchester City,N,LM,16,1,2,50.0,18,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/4d718594/Burnley-Manchester-City-December-3-2019-Premier-League
9,2019-09-14,Sat,Matchweek 16,Away,L 0–5,Burnley,Tottenham,Y,LM,70,11,17,64.7,164,82,5,6,83.3,6,9,66.7,0,0,,0,0.0,0.0,1,1,0,0,3,/en/matches/56da163b/Tottenham-Hotspur-Burnley-December-7-2019-Premier-League
