,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2019-09-30,Sun,Matchweek 9,Home,D 1–1,Manchester Utd,Liverpool,N,RM,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,/en/matches/95c3f0c8/North-West-Derby-Manchester-United-Liverpool-October-20-2019-Premier-League
1,2019-09-30,Sun,Matchweek 10,Away,W 3–1,Manchester Utd,Norwich City,N,"On matchday squad, but did not play",/en/matches/a31a1d67/Norwich-City-Manchester-United-October-27-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-09-30,Sat,Matchweek 11,Away,L 0–1,Manchester Utd,Bournemouth,N,LB,10,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,3,0,10,11,90.9,1,8,1,1,0,/en/matches/9e35d172/Bournemouth-Manchester-United-November-2-2019-Premier-League
3,2019-09-30,Sun,Matchweek 12,Home,W 3–1,Manchester Utd,Brighton,Y,LB,89,0,0,0,0,1,1,1,0,51,4,2,0,0.1,0.1,0.0,4,0,30,39,76.9,3,25,3,1,1,/en/matches/014bbabe/Manchester-United-Brighton-and-Hove-Albion-November-10-2019-Premier-League
4,2019-09-30,Sun,Matchweek 13,Away,D 3–3,Manchester Utd,Sheffield Utd,Y,"LB,WB",90,1,0,0,0,1,1,1,0,71,2,1,0,0.1,0.1,0.1,2,0,45,54,83.3,4,32,0,2,0,/en/matches/a1d9d65f/Sheffield-United-Manchester-United-November-24-2019-Premier-League
5,2019-09-30,Sun,Matchweek 14,Home,D 2–2,Manchester Utd,Aston Villa,Y,LB,78,0,0,0,0,0,0,1,0,64,1,1,2,0.0,0.0,0.0,2,0,42,51,82.4,4,27,0,1,1,/en/matches/e88d9028/Manchester-United-Aston-Villa-December-1-2019-Premier-League
6,2019-09-30,Wed,Matchweek 15,Home,W 2–1,Manchester Utd,Tottenham,N,"On matchday squad, but did not play",/en/matches/614c7c1f/Manchester-United-Tottenham-Hotspur-December-4-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-09-30,Sat,Matchweek 16,Away,W 2–1,Manchester Utd,Manchester City,N,"On matchday squad, but did not play",/en/matches/bf9c0d50/Manchester-Derby-Manchester-City-Manchester-United-December-7-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-09-30,Sun,Matchweek 17,Home,D 1–1,Manchester Utd,Everton,N,"On matchday squad, but did not play",/en/matches/240ac5ad/Manchester-United-Everton-December-15-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-09-30,Sat,Matchweek 20,Away,W 2–0,Manchester Utd,Burnley,Y,LB,90,0,0,0,0,0,0,1,0,61,0,0,0,0.0,0.0,0.1,2,0,43,52,82.7,4,40,5,1,0,/en/matches/f66bbb03/Burnley-Manchester-United-December-28-2019-Premier-League
11,2019-09-30,Wed,Matchweek 21,Away,L 0–2,Manchester Utd,Arsenal,N,"On matchday squad, but did not play",/en/matches/f6b7d570/Arsenal-Manchester-United-January-1-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2019-09-30,Sat,Matchweek 22,Home,W 4–0,Manchester Utd,Norwich City,Y,LB,90,0,0,0,0,2,0,0,0,99,3,5,2,0.8,0.8,0.0,3,1,67,81,82.7,5,52,10,4,3,/en/matches/db192bf5/Manchester-United-Norwich-City-January-11-2020-Premier-League
13,2019-09-30,Sun,Matchweek 23,Away,L 0–2,Manchester Utd,Liverpool,Y,WB,73,0,0,0,0,0,0,0,0,41,2,0,1,0.0,0.0,0.0,0,0,26,33,78.8,2,25,4,0,0,/en/matches/d2a888b6/North-West-Derby-Liverpool-Manchester-United-January-19-2020-Premier-League
14,2019-09-30,Wed,Matchweek 24,Home,L 0–2,Manchester Utd,Burnley,Y,LB,68,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.0,2,0,45,51,88.2,4,40,4,3,3,/en/matches/709e2aa4/Manchester-United-Burnley-January-22-2020-Premier-League
15,2019-09-30,Sat,Matchweek 25,Home,D 0–0,Manchester Utd,Wolves,N,"On matchday squad, but did not play",/en/matches/88328013/Manchester-United-Wolverhampton-Wanderers-February-1-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2019-09-30,Mon,Matchweek 26,Away,W 2–0,Manchester Utd,Chelsea,Y,WB,90,0,0,0,0,1,0,1,0,60,3,1,0,0.0,0.0,0.0,1,0,37,50,74.0,3,29,3,3,3,/en/matches/2619bcb9/Chelsea-Manchester-United-February-17-2020-Premier-League
17,2019-09-30,Sun,Matchweek 27,Home,W 3–0,Manchester Utd,Watford,N,"On matchday squad, but did not play",/en/matches/835d0c36/Manchester-United-Watford-February-23-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2019-09-30,Sun,Matchweek 28,Away,D 1–1,Manchester Utd,Everton,N,LW,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,0,0,0,/en/matches/ea2c2272/Everton-Manchester-United-March-1-2020-Premier-League
19,2019-09-30,Sun,Matchweek 29,Home,W 2–0,Manchester Utd,Manchester City,Y,WB,77,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.1,3,0,15,20,75.0,1,16,2,1,1,/en/matches/04416d35/Manchester-Derby-Manchester-United-Manchester-City-March-8-2020-Premier-League
20,2019-09-30,Fri,Matchweek 30,Away,D 1–1,Manchester Utd,Tottenham,N,"On matchday squad, but did not play",/en/matches/973a441a/Tottenham-Hotspur-Manchester-United-June-19-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2019-09-30,Wed,Matchweek 31,Home,W 3–0,Manchester Utd,Sheffield Utd,N,"On matchday squad, but did not play",/en/matches/54cdce8b/Manchester-United-Sheffield-United-June-24-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2019-09-30,Tue,Matchweek 32,Away,W 3–0,Manchester Utd,Brighton,N,LB,27,0,0,0,0,1,0,0,0,26,1,1,0,0.1,0.1,0.0,2,0,21,23,91.3,2,9,2,0,0,/en/matches/be321c59/Brighton-and-Hove-Albion-Manchester-United-June-30-2020-Premier-League
23,2019-09-30,Sat,Matchweek 33,Home,W 5–2,Manchester Utd,Bournemouth,N,"On matchday squad, but did not play",/en/matches/8bed0062/Manchester-United-Bournemouth-July-4-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2019-09-30,Thu,Matchweek 34,Away,W 3–0,Manchester Utd,Aston Villa,N,RB,25,0,0,0,0,0,0,0,0,21,0,1,1,0.0,0.0,0.0,0,0,15,19,78.9,2,10,0,0,0,/en/matches/61422f26/Aston-Villa-Manchester-United-July-9-2020-Premier-League
25,2019-09-30,Mon,Matchweek 35,Home,D 2–2,Manchester Utd,Southampton,N,LB,16,0,0,0,0,0,0,0,0,8,1,1,0,0.0,0.0,0.0,0,0,1,4,25.0,0,3,0,0,0,/en/matches/668c9423/Manchester-United-Southampton-July-13-2020-Premier-League
26,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2019-09-30,Wed,Matchweek 37,Home,D 1–1,Manchester Utd,West Ham,Y,LB,90,0,0,0,0,0,0,0,0,84,2,0,0,0.0,0.0,0.1,1,0,66,76,86.8,5,38,2,1,1,/en/matches/bf25e016/Manchester-United-West-Ham-United-July-22-2020-Premier-League
28,2019-09-30,Sun,Matchweek 38,Away,W 2–0,Manchester Utd,Leicester City,Y,LB,90,0,0,0,0,0,0,1,0,85,2,3,3,0.0,0.0,0.0,0,0,66,73,90.4,3,61,4,4,3,/en/matches/3873cc78/Leicester-City-Manchester-United-July-26-2020-Premier-League
