,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2022-06-08,Wed,UEFA Nations League,League B,Home,W 2–0,sct Scotland,am Armenia,Y,FW,85,0,0,0,0,3,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/79b2fd6d/Scotland-Armenia-June-8-2022-UEFA-Nations-League
1,2022-06-11,Sat,UEFA Nations League,League B,Away,L 0–3,sct Scotland,ie Rep. of Ireland,Y,AM,58,0,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,/en/matches/afa016d5/Republic-of-Ireland-Scotland-June-11-2022-UEFA-Nations-League
2,2022-08-06,Sat,Premier League,Matchweek 1,Home,W 2–0,Bournemouth,Aston Villa,N,AM,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,0,1,0,/en/matches/877e3193/Bournemouth-Aston-Villa-August-6-2022-Premier-League
3,2022-08-13,Sat,Premier League,Matchweek 2,Away,L 0–4,Bournemouth,Manchester City,Y,AM,62,0,0,0,0,0,0,0,0,19,1,0,1,0.0,0.0,0.0,0,0,10,14,71.4,0,9,0,3,3,/en/matches/311d705c/Manchester-City-Bournemouth-August-13-2022-Premier-League
4,2022-08-20,Sat,Premier League,Matchweek 3,Home,L 0–3,Bournemouth,Arsenal,N,AM,26,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,2,0,9,10,90.0,2,7,1,2,2,/en/matches/7f11dd9e/Bournemouth-Arsenal-August-20-2022-Premier-League
5,2022-08-23,Tue,EFL Cup,Second round,Away,D 2 (5)–2 (3),Bournemouth,Norwich City,Y,AM,120,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/b44a73fc/Norwich-City-Bournemouth-August-23-2022-EFL-Cup
6,2022-08-27,Sat,Premier League,Matchweek 4,Away,L 0–9,Bournemouth,Liverpool,Y,AM,45,0,0,0,0,1,0,0,0,17,1,1,2,0.0,0.0,0.2,1,0,9,10,90.0,2,8,0,0,0,/en/matches/de515487/Liverpool-Bournemouth-August-27-2022-Premier-League
7,2022-08-31,Wed,Premier League,Matchweek 5,Home,D 0–0,Bournemouth,Wolves,Y,LM,85,0,0,0,0,1,0,0,0,44,6,0,0,0.1,0.1,0.0,1,0,21,26,80.8,6,26,1,8,3,/en/matches/91b239d8/Bournemouth-Wolverhampton-Wanderers-August-31-2022-Premier-League
8,2022-09-03,Sat,Premier League,Matchweek 6,Away,W 3–2,Bournemouth,Nott'ham Forest,Y,"RW,AM",84,0,0,0,0,2,0,0,0,36,2,0,0,0.2,0.2,0.0,1,0,26,27,96.3,3,21,4,1,0,/en/matches/05f32555/Nottingham-Forest-Bournemouth-September-3-2022-Premier-League
9,2022-09-17,Sat,Premier League,Matchweek 8,Away,D 1–1,Bournemouth,Newcastle Utd,Y,LW,86,0,0,0,0,3,1,1,0,41,1,3,1,0.1,0.1,0.0,3,0,15,24,62.5,2,20,2,5,3,/en/matches/177da679/Newcastle-United-Bournemouth-September-17-2022-Premier-League
