,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-14,Sat,Premier League,Matchweek 1,Home,W 3–1,Everton,Southampton,Y,"AM,LW",82,0,0,0,0,0,0,0,0,29.0,4.0,0,1.0,0.0,0.0,0.2,4.0,0.0,15.0,21.0,71.4,1.0,16.0,4.0,0.0,0.0,/en/matches/c99ebbf5/Everton-Southampton-August-14-2021-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-21,Sat,Premier League,Matchweek 2,Away,D 2–2,Everton,Leeds United,Y,LM,82,1,0,0,0,1,1,0,0,27.0,1.0,1,0.0,0.1,0.1,0.1,2.0,0.0,12.0,16.0,75.0,1.0,12.0,2.0,4.0,2.0,/en/matches/b9064680/Leeds-United-Everton-August-21-2021-Premier-League,0.5,0.5,0.5256410256410257
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-24,Tue,EFL Cup,Second round,Away,W 2–1,Everton,Huddersfield,N,,16,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/46940c87/Huddersfield-Town-Everton-August-24-2021-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-08-28,Sat,Premier League,Matchweek 3,Away,W 2–0,Everton,Brighton,Y,LM,80,1,0,0,0,3,1,0,0,32.0,0.0,1,0.0,0.1,0.1,0.2,2.0,0.0,15.0,20.0,75.0,2.0,22.0,4.0,5.0,0.0,/en/matches/ec8b667a/Brighton-and-Hove-Albion-Everton-August-28-2021-Premier-League,1.0,0.8333333333333334,0.5357142857142857
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-13,Mon,Premier League,Matchweek 4,Home,W 3–1,Everton,Burnley,Y,LW,87,1,0,0,0,4,1,0,0,36.0,0.0,2,1.0,0.7,0.7,0.0,1.0,0.0,21.0,25.0,84.0,3.0,23.0,4.0,2.0,2.0,/en/matches/668b2f97/Everton-Burnley-September-13-2021-Premier-League,1.0,0.8333333333333334,0.3095238095238095
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-18,Sat,Premier League,Matchweek 5,Away,L 0–3,Everton,Aston Villa,Y,"FW,LM",90,0,0,0,0,2,0,0,0,31.0,0.0,0,0.0,0.2,0.2,0.1,3.0,0.0,17.0,21.0,81.0,2.0,22.0,4.0,5.0,2.0,/en/matches/57323feb/Aston-Villa-Everton-September-18-2021-Premier-League,0.0,1.0,0.5222222222222223
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-09-21,Tue,EFL Cup,Third round,Away,D 2 (7)–2 (8),Everton,QPR,N,,18,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/d02210bf/Queens-Park-Rangers-Everton-September-21-2021-EFL-Cup,0.5,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-09-25,Sat,Premier League,Matchweek 6,Home,W 2–0,Everton,Norwich City,Y,FW,82,0,1,0,0,1,0,0,0,43.0,2.0,2,1.0,0.0,0.0,0.1,1.0,1.0,24.0,31.0,77.4,2.0,26.0,3.0,4.0,1.0,/en/matches/d516ccbf/Everton-Norwich-City-September-25-2021-Premier-League,1.0,0.5,0.1428571428571428
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-10-02,Sat,Premier League,Matchweek 7,Away,D 1–1,Everton,Manchester Utd,Y,"FW,LW",89,0,0,0,0,2,1,0,0,34.0,1.0,0,0.0,0.1,0.1,0.1,5.0,0.0,20.0,26.0,76.9,1.0,21.0,5.0,4.0,3.0,/en/matches/2129c7e9/Manchester-United-Everton-October-2-2021-Premier-League,0.5,0.5,0.5238095238095238
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-10-17,Sun,Premier League,Matchweek 8,Home,L 0–1,Everton,West Ham,Y,"FW,LM",90,0,0,0,0,2,1,0,0,50.0,1.0,0,1.0,0.1,0.1,0.2,3.0,0.0,26.0,39.0,66.7,4.0,28.0,4.0,3.0,1.0,/en/matches/15871600/Everton-West-Ham-United-October-17-2021-Premier-League,0.0,0.6666666666666666,0.630952380952381
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-10-23,Sat,Premier League,Matchweek 9,Home,L 2–5,Everton,Watford,Y,"FW,LM",76,0,1,0,0,0,0,0,0,42.0,0.0,1,1.0,0.0,0.0,0.5,4.0,1.0,24.0,29.0,82.8,5.0,29.0,2.0,3.0,0.0,/en/matches/6985d123/Everton-Watford-October-23-2021-Premier-League,0.0,0.5,0.2857142857142857
