,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2019-08-10,Sat,Matchweek 3,Away,W 3–1,West Ham,Watford,N,"On matchday squad, but did not play",/en/matches/89fbf2a3/Watford-West-Ham-United-August-24-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
1,2019-08-10,Sat,Matchweek 4,Home,W 2–0,West Ham,Norwich City,N,"On matchday squad, but did not play",/en/matches/164148a8/West-Ham-United-Norwich-City-August-31-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
2,2019-08-10,Mon,Matchweek 5,Away,D 0–0,West Ham,Aston Villa,N,"On matchday squad, but did not play",/en/matches/b26df467/Aston-Villa-West-Ham-United-September-16-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
3,2019-08-10,Sun,Matchweek 6,Home,W 2–0,West Ham,Manchester Utd,N,"On matchday squad, but did not play",/en/matches/fe3e2bec/West-Ham-United-Manchester-United-September-22-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
4,2019-08-10,Sat,Matchweek 7,Away,D 2–2,West Ham,Bournemouth,N,GK,57,23,21,23,0,0,0,23,0,0,,0,,14,118,92,0,0,0,0,0,7,0,/en/matches/704e536e/Bournemouth-West-Ham-United-September-28-2019-Premier-League
5,2019-08-10,Sat,Matchweek 8,Home,L 1–2,West Ham,Crystal Palace,Y,GK,90,29,23,29,0,0,0,29,0,0,,0,,11,61,49,0,0,0,1,0,11,0,/en/matches/23fe51bc/West-Ham-United-Crystal-Palace-October-5-2019-Premier-League
6,2019-08-10,Sat,Matchweek 9,Away,L 0–2,West Ham,Everton,Y,GK,90,42,39,42,0,0,0,42,0,0,,0,,20,156,137,0,0,0,0,0,11,0,/en/matches/0fa45675/Everton-West-Ham-United-October-19-2019-Premier-League
7,2019-08-10,Sat,Matchweek 10,Home,D 1–1,West Ham,Sheffield Utd,Y,GK,90,30,25,30,0,0,0,30,0,0,,0,,15,83,62,0,0,0,0,0,11,0,/en/matches/43aa7711/West-Ham-United-Sheffield-United-October-26-2019-Premier-League
8,2019-08-10,Sat,Matchweek 11,Home,L 2–3,West Ham,Newcastle Utd,Y,GK,90,26,22,26,0,0,0,26,0,0,,0,,11,40,34,0,0,0,0,0,7,0,/en/matches/ac4523c2/West-Ham-United-Newcastle-United-November-2-2019-Premier-League
9,2019-08-10,Sat,Matchweek 12,Away,L 0–3,West Ham,Burnley,Y,GK,90,51,47,50,1,0,0,51,0,0,,0,,25,160,135,0,0,0,0,0,16,0,/en/matches/559f666e/Burnley-West-Ham-United-November-9-2019-Premier-League
10,2019-08-10,Sat,Matchweek 13,Home,L 2–3,West Ham,Tottenham,Y,GK,90,28,25,28,0,0,0,28,0,0,,0,,13,85,56,0,0,0,0,0,6,0,/en/matches/a7dc884b/West-Ham-United-Tottenham-Hotspur-November-23-2019-Premier-League
11,2019-08-10,Sat,Matchweek 14,Away,W 1–0,West Ham,Chelsea,N,"On matchday squad, but did not play",/en/matches/aa1ff9cd/Chelsea-West-Ham-United-November-30-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
12,2019-08-10,Wed,Matchweek 15,Away,L 0–2,West Ham,Wolves,N,"On matchday squad, but did not play",/en/matches/292d0f46/Wolverhampton-Wanderers-West-Ham-United-December-4-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
13,2019-08-10,Mon,Matchweek 16,Home,L 1–3,West Ham,Arsenal,N,"On matchday squad, but did not play",/en/matches/a48c4638/West-Ham-United-Arsenal-December-9-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
14,2019-08-10,Sat,Matchweek 17,Away,W 1–0,West Ham,Southampton,N,"On matchday squad, but did not play",/en/matches/a47901a8/Southampton-West-Ham-United-December-14-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
15,2019-08-10,Thu,Matchweek 19,Away,L 1–2,West Ham,Crystal Palace,Y,GK,90,29,27,29,0,0,0,29,0,0,,0,,8,65,54,0,0,0,0,0,9,0,/en/matches/048fa915/Crystal-Palace-West-Ham-United-December-26-2019-Premier-League
16,2019-08-10,Sat,Matchweek 20,Home,L 1–2,West Ham,Leicester City,N,"On matchday squad, but did not play",/en/matches/1f2bd890/West-Ham-United-Leicester-City-December-28-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
17,2019-08-10,Wed,Matchweek 21,Home,W 4–0,West Ham,Bournemouth,N,"On matchday squad, but did not play",/en/matches/9ae01aab/West-Ham-United-Bournemouth-January-1-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
