,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2022-06-04,Sat,UEFA Nations League,League A,Away,L 0–1,eng England,hu Hungary,Y*,FW,90,0,0,0,0,3,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/058c813b/Hungary-England-June-4-2022-UEFA-Nations-League,0.0,0.5
1,1,2022-06-07,Tue,UEFA Nations League,League A,Away,D 1–1,eng England,de Germany,Y*,FW,90,1,0,0,0,5,3,0,0,,,0,,,,,,,,,,,,,,,/en/matches/d7df9e02/Germany-England-June-7-2022-UEFA-Nations-League,0.5,0.5
2,2,2022-06-11,Sat,UEFA Nations League,League A,Home,D 0–0,eng England,it Italy,N,,26,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/c75dc433/England-Italy-June-11-2022-UEFA-Nations-League,0.5,0.5
3,3,2022-06-14,Tue,UEFA Nations League,League A,Home,L 0–4,eng England,hu Hungary,Y*,FW,90,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/c8aefffb/England-Hungary-June-14-2022-UEFA-Nations-League,0.0,0.3333333333333333
4,4,2022-08-06,Sat,Premier League,Matchweek 1,Home,W 4–1,Tottenham,Southampton,Y,FW,90,0,0,0,0,2,2,0,0,38.0,0.0,0,2.0,0.1,0.1,0.2,5.0,0.0,19.0,29.0,65.5,8.0,15.0,0.0,1.0,0.0,/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,1.0,0.3333333333333333
5,5,2022-08-14,Sun,Premier League,Matchweek 2,Away,D 2–2,Tottenham,Chelsea,Y,FW,90,1,0,0,0,3,1,0,0,30.0,1.0,0,2.0,0.5,0.5,0.3,5.0,0.0,15.0,18.0,83.3,3.0,19.0,2.0,0.0,0.0,/en/matches/01e57bf5/Chelsea-Tottenham-Hotspur-August-14-2022-Premier-League,0.5,0.5
6,6,2022-08-20,Sat,Premier League,Matchweek 3,Home,W 1–0,Tottenham,Wolves,Y,FW,90,1,0,0,0,4,2,1,0,30.0,0.0,0,0.0,0.9,0.9,0.1,4.0,0.0,18.0,22.0,81.8,5.0,20.0,1.0,1.0,0.0,/en/matches/5cc3bd0e/Tottenham-Hotspur-Wolverhampton-Wanderers-August-20-2022-Premier-League,1.0,0.5
7,7,2022-08-28,Sun,Premier League,Matchweek 4,Away,W 2–0,Tottenham,Nott'ham Forest,Y,FW,90,2,0,0,1,5,3,1,0,50.0,0.0,0,2.0,1.4,0.6,0.2,6.0,0.0,23.0,33.0,69.7,5.0,34.0,3.0,5.0,1.0,/en/matches/3c364307/Nottingham-Forest-Tottenham-Hotspur-August-28-2022-Premier-League,1.0,0.8333333333333334
8,8,2022-08-31,Wed,Premier League,Matchweek 5,Away,D 1–1,Tottenham,West Ham,Y,FW,90,0,0,0,0,4,1,0,0,44.0,0.0,0,0.0,0.2,0.2,0.0,4.0,0.0,27.0,38.0,71.1,6.0,27.0,3.0,2.0,1.0,/en/matches/9f221621/West-Ham-United-Tottenham-Hotspur-August-31-2022-Premier-League,0.5,0.8333333333333334
9,9,2022-09-03,Sat,Premier League,Matchweek 6,Home,W 2–1,Tottenham,Fulham,Y,FW,77,1,0,0,0,3,2,0,0,33.0,1.0,0,1.0,1.0,1.0,0.4,3.0,0.0,19.0,24.0,79.2,10.0,21.0,1.0,4.0,1.0,/en/matches/a497b725/Tottenham-Hotspur-Fulham-September-3-2022-Premier-League,1.0,0.8333333333333334
10,10,2022-09-07,Wed,Champions Lg,Group stage,Home,W 2–0,eng Tottenham,fr Marseille,Y,FW,90,0,0,0,0,6,0,0,0,60.0,0.0,1,0.0,0.4,0.4,0.0,3.0,0.0,32.0,42.0,76.2,7.0,42.0,1.0,4.0,1.0,/en/matches/e5abb306/Tottenham-Hotspur-Marseille-September-7-2022-Champions-League,1.0,0.8333333333333334
11,11,2022-09-13,Tue,Champions Lg,Group stage,Away,L 0–2,eng Tottenham,pt Sporting CP,Y,FW,90,0,0,0,0,2,1,0,0,46.0,0.0,0,0.0,0.1,0.1,0.1,4.0,0.0,24.0,38.0,63.2,3.0,28.0,2.0,2.0,0.0,/en/matches/14945858/Sporting-CP-Tottenham-Hotspur-September-13-2022-Champions-League,0.0,0.8333333333333334
12,12,2022-09-17,Sat,Premier League,Matchweek 8,Home,W 6–2,Tottenham,Leicester City,Y,FW,90,1,1,0,0,2,1,0,0,40.0,0.0,0,0.0,0.5,0.5,0.3,3.0,1.0,21.0,31.0,67.7,5.0,23.0,2.0,7.0,3.0,/en/matches/99e44c16/Tottenham-Hotspur-Leicester-City-September-17-2022-Premier-League,1.0,0.6666666666666666
13,13,2022-09-23,Fri,UEFA Nations League,League A,Away,L 0–1,eng England,it Italy,Y*,FW,90,0,0,0,0,5,2,0,0,,,0,,,,,,,,,,,,,,,/en/matches/5b0ffbe3/Italy-England-September-23-2022-UEFA-Nations-League,0.0,0.6666666666666666
14,14,2022-09-26,Mon,UEFA Nations League,League A,Home,D 3–3,eng England,de Germany,Y*,FW,90,1,0,1,1,2,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/03055401/England-Germany-September-26-2022-UEFA-Nations-League,0.5,0.3333333333333333
15,15,2022-10-01,Sat,Premier League,Matchweek 9,Away,L 1–3,Tottenham,Arsenal,Y,FW,90,1,0,1,1,2,1,0,0,21.0,0.0,0,0.0,0.9,0.1,0.0,1.0,0.0,11.0,14.0,78.6,3.0,16.0,2.0,1.0,0.0,/en/matches/aefe3b90/North-London-Derby-Arsenal-Tottenham-Hotspur-October-1-2022-Premier-League,0.0,0.5
16,16,2022-10-04,Tue,Champions Lg,Group stage,Away,D 0–0,eng Tottenham,de Eint Frankfurt,Y,FW,90,0,0,0,0,4,1,1,0,43.0,0.0,1,1.0,1.0,1.0,0.2,3.0,0.0,19.0,31.0,61.3,6.0,23.0,1.0,2.0,1.0,/en/matches/2f44d120/Eintracht-Frankfurt-Tottenham-Hotspur-October-4-2022-Champions-League,0.5,0.16666666666666666
