,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2022-10-09,Sun,Premier League,Matchweek 10,Home,L 1–2,Everton,Manchester Utd,Y,LB,90,0,0,0,0,0.0,0.0,0,0,51.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,38.0,46.0,82.6,7.0,28.0,3.0,1.0,0.0,/en/matches/5d426690/Everton-Manchester-United-October-9-2022-Premier-League,0.0,0.8333333333333334,0.6190476190476192
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2022-10-15,Sat,Premier League,Matchweek 11,Away,L 0–2,Everton,Tottenham,Y,CB,90,0,0,0,0,0.0,0.0,1,0,56.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,48.0,91.7,1.0,40.0,1.0,0.0,0.0,/en/matches/e42493f9/Tottenham-Hotspur-Everton-October-15-2022-Premier-League,0.0,0.5,0.7291666666666667
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2022-10-19,Wed,Premier League,Matchweek 12,Away,L 0–1,Everton,Newcastle Utd,Y,LB,90,0,0,0,0,0.0,0.0,0,0,61.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,56.0,71.4,2.0,17.0,2.0,1.0,1.0,/en/matches/e6674f8d/Newcastle-United-Everton-October-19-2022-Premier-League,0.0,0.3333333333333333,0.788888888888889
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2022-10-22,Sat,Premier League,Matchweek 13,Home,W 3–0,Everton,Crystal Palace,Y,LB,90,0,0,0,0,1.0,1.0,0,0,65.0,2.0,1.0,2.0,0.1,0.1,0.0,1.0,1.0,44.0,56.0,78.6,1.0,23.0,2.0,1.0,1.0,/en/matches/24d23a55/Everton-Crystal-Palace-October-22-2022-Premier-League,1.0,0.0,0.8214285714285715
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2022-10-29,Sat,Premier League,Matchweek 14,Away,D 0–0,Everton,Fulham,Y,LB,90,0,0,0,0,0.0,0.0,0,0,58.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,28.0,41.0,68.3,1.0,12.0,2.0,1.0,1.0,/en/matches/9c4402e1/Fulham-Everton-October-29-2022-Premier-League,0.5,0.3333333333333333,0.7976190476190477
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2022-11-05,Sat,Premier League,Matchweek 15,Home,L 0–2,Everton,Leicester City,Y,LB,90,0,0,0,0,0.0,0.0,0,0,64.0,1.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,43.0,53.0,81.1,4.0,30.0,1.0,1.0,0.0,/en/matches/831c73fc/Everton-Leicester-City-November-5-2022-Premier-League,0.0,0.5,0.6555555555555554
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2022-11-12,Sat,Premier League,Matchweek 16,Away,L 0–3,Everton,Bournemouth,Y,LB,28,0,0,0,0,0.0,0.0,0,0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,23.0,87.0,5.0,14.0,0.0,0.0,0.0,/en/matches/54f23f03/Bournemouth-Everton-November-12-2022-Premier-League,0.0,0.5,0.1666666666666666
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2022-12-26,Mon,Premier League,Matchweek 17,Home,L 1–2,Everton,Wolves,Y,LB,90,0,0,0,0,1.0,0.0,0,0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,60.0,78.3,7.0,34.0,2.0,3.0,2.0,/en/matches/ef424180/Everton-Wolverhampton-Wanderers-December-26-2022-Premier-League,0.0,0.1666666666666666,0.59375
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2022-12-31,Sat,Premier League,Matchweek 18,Away,D 1–1,Everton,Manchester City,Y,LB,90,0,0,0,0,0.0,0.0,0,0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,59.1,0.0,16.0,1.0,0.0,0.0,/en/matches/bcfb66ff/Manchester-City-Everton-December-31-2022-Premier-League,0.5,0.0,0.7261904761904762
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2023-01-03,Tue,Premier League,Matchweek 19,Home,L 1–4,Everton,Brighton,Y,LB,90,0,0,0,0,0.0,0.0,0,0,47.0,2.0,0.0,2.0,0.0,0.0,0.1,2.0,0.0,35.0,40.0,87.5,5.0,21.0,1.0,0.0,0.0,/en/matches/c62d7632/Everton-Brighton-and-Hove-Albion-January-3-2023-Premier-League,0.0,0.1666666666666666,0.5
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2023-01-06,Fri,FA Cup,Third round proper,Away,L 1–3,Everton,Manchester Utd,Y,LB,80,0,0,0,0,1.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/a93b3510/Manchester-United-Everton-January-6-2023-FA-Cup,0.0,0.1666666666666666,0.5
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2023-01-14,Sat,Premier League,Matchweek 20,Home,L 1–2,Everton,Southampton,Y,WB,90,0,0,0,0,0.0,0.0,0,0,47.0,2.0,1.0,1.0,0.0,0.0,0.2,1.0,0.0,31.0,39.0,79.5,6.0,16.0,0.0,0.0,0.0,/en/matches/11603f7f/Everton-Southampton-January-14-2023-Premier-League,0.0,0.1666666666666666,0.5
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2023-01-21,Sat,Premier League,Matchweek 21,Away,L 0–2,Everton,West Ham,Y,WB,45,0,0,0,0,0.0,0.0,0,0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,31.0,74.2,0.0,19.0,0.0,1.0,0.0,/en/matches/db9cdba8/West-Ham-United-Everton-January-21-2023-Premier-League,0.0,0.0,0.5
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2023-02-04,Sat,Premier League,Matchweek 22,Home,W 1–0,Everton,Arsenal,Y,LB,90,0,0,0,0,1.0,0.0,1,0,41.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,17.0,26.0,65.4,1.0,7.0,0.0,1.0,0.0,/en/matches/07fc721a/Everton-Arsenal-February-4-2023-Premier-League,1.0,0.0,0.5
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2023-02-13,Mon,Premier League,Matchweek 23,Away,L 0–2,Everton,Liverpool,Y,LB,90,0,0,0,0,0.0,0.0,0,0,63.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,37.0,47.0,78.7,6.0,24.0,0.0,0.0,0.0,/en/matches/a895ec23/Merseyside-Derby-Liverpool-Everton-February-13-2023-Premier-League,0.0,0.3333333333333333,0.5
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2023-02-18,Sat,Premier League,Matchweek 24,Home,W 1–0,Everton,Leeds United,Y,LB,90,0,0,0,0,1.0,1.0,0,0,69.0,2.0,1.0,2.0,0.0,0.0,0.1,2.0,0.0,37.0,55.0,67.3,3.0,25.0,2.0,3.0,2.0,/en/matches/d5f67d2e/Everton-Leeds-United-February-18-2023-Premier-League,1.0,0.3333333333333333,0.5
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2023-02-25,Sat,Premier League,Matchweek 25,Home,L 0–2,Everton,Aston Villa,Y,LB,90,0,0,0,0,0.0,0.0,0,0,51.0,0.0,1.0,1.0,0.0,0.0,0.2,3.0,0.0,39.0,47.0,83.0,6.0,26.0,2.0,3.0,1.0,/en/matches/25436a3b/Everton-Aston-Villa-February-25-2023-Premier-League,0.0,0.6666666666666666,0.5
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2023-03-01,Wed,Premier League,Matchweek 7,Away,L 0–4,Everton,Arsenal,Y,LB,90,0,0,0,0,0.0,0.0,0,0,46.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,32.0,71.9,1.0,13.0,1.0,1.0,1.0,/en/matches/705a2f3c/Arsenal-Everton-March-1-2023-Premier-League,0.0,0.3333333333333333,0.5
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2023-03-11,Sat,Premier League,Matchweek 27,Home,W 1–0,Everton,Brentford,N,LB,1,0,0,0,0,0.0,0.0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,/en/matches/980f57d4/Everton-Brentford-March-11-2023-Premier-League,1.0,0.3333333333333333,0.5
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2023-03-18,Sat,Premier League,Matchweek 28,Away,D 2–2,Everton,Chelsea,N,LB,7,0,0,0,0,0.0,0.0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,1.0,0.0,0.0,0.0,/en/matches/9453dba7/Chelsea-Everton-March-18-2023-Premier-League,0.5,0.3333333333333333,0.5
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2023-03-26,Sun,Euro Qualifying,Group stage,Away,L 0–2,ua Ukraine,eng England,Y,LB,60,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/275ada90/England-Ukraine-March-26-2023-Euro-Qualifying,0.0,0.5,0.5
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,2023-04-03,Mon,Premier League,Matchweek 29,Home,D 1–1,Everton,Tottenham,N,LB,14,0,0,0,0,1.0,0.0,0,0,19.0,5.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,6.0,8.0,75.0,1.0,12.0,0.0,0.0,0.0,/en/matches/c00d9a22/Everton-Tottenham-Hotspur-April-3-2023-Premier-League,0.5,0.5,0.5
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,2023-04-08,Sat,Premier League,Matchweek 30,Away,L 0–2,Everton,Manchester Utd,N,LB,45,0,0,0,0,0.0,0.0,0,0,27.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,22.0,63.6,2.0,13.0,0.0,0.0,0.0,/en/matches/e217ed2c/Manchester-United-Everton-April-8-2023-Premier-League,0.0,0.3333333333333333,0.5
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2023-04-15,Sat,Premier League,Matchweek 31,Home,L 1–3,Everton,Fulham,Y,LB,90,0,0,0,0,1.0,0.0,1,0,62.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,34.0,49.0,69.4,4.0,35.0,0.0,0.0,0.0,/en/matches/ecae749b/Everton-Fulham-April-15-2023-Premier-League,0.0,0.1666666666666666,0.5
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2023-04-22,Sat,Premier League,Matchweek 32,Away,D 0–0,Everton,Crystal Palace,Y,LB,90,0,0,0,0,0.0,0.0,0,0,57.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,35.0,47.0,74.5,1.0,24.0,0.0,1.0,0.0,/en/matches/25f6dcd1/Crystal-Palace-Everton-April-22-2023-Premier-League,0.5,0.1666666666666666,0.5
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,2023-04-27,Thu,Premier League,Matchweek 33,Home,L 1–4,Everton,Newcastle Utd,Y,LB,90,0,0,0,0,0.0,0.0,0,0,51.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,27.0,39.0,69.2,4.0,23.0,0.0,0.0,0.0,/en/matches/37a741a7/Everton-Newcastle-United-April-27-2023-Premier-League,0.0,0.1666666666666666,0.5
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,2023-05-01,Mon,Premier League,Matchweek 34,Away,D 2–2,Everton,Leicester City,Y,LB,90,0,0,0,0,0.0,0.0,0,0,31.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,16.0,23.0,69.6,0.0,13.0,0.0,0.0,0.0,/en/matches/95d2cc61/Leicester-City-Everton-May-1-2023-Premier-League,0.5,0.1666666666666666,0.5
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2023-05-08,Mon,Premier League,Matchweek 35,Away,W 5–1,Everton,Brighton,Y,LB,90,0,0,0,0,0.0,0.0,0,0,28.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,41.7,1.0,15.0,1.0,0.0,0.0,/en/matches/bf8d9047/Brighton-and-Hove-Albion-Everton-May-8-2023-Premier-League,1.0,0.3333333333333333,0.5
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2023-06-12,Mon,Friendlies (M),Friendlies (M),Away,D 3–3,ua Ukraine,de Germany,Y,LB,77,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/c5e94f95/Germany-Ukraine-June-12-2023-Friendlies-M,0.5,0.5,0.5
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2023-06-16,Fri,Euro Qualifying,Group stage,Away,W 3–2,ua Ukraine,mk N. Macedonia,Y,LB,90,0,0,0,0,1.0,0.0,1,0,,,3.0,,,,,,,,,,,,,,,/en/matches/bc5de2a8/North-Macedonia-Ukraine-June-16-2023-Euro-Qualifying,1.0,0.6666666666666666,0.5
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,2023-06-19,Mon,Euro Qualifying,Group stage,Home,W 1–0,ua Ukraine,mt Malta,N,,45,0,0,0,0,2.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/62af26a2/Ukraine-Malta-June-19-2023-Euro-Qualifying,1.0,0.8333333333333334,0.5
