,Unnamed: 0.34,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-11,Wed,Super Cup,UEFA Super Cup,Home,D 1 (6)–1 (5),eng Chelsea,es Villarreal,Y,GK,118,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/fe78a4ae/Chelsea-Villarreal-August-11-2021-UEFA-Super-Cup,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-14,Sat,Premier League,Matchweek 1,Home,W 3–0,Chelsea,Crystal Palace,Y,GK,90,0,0,0,0,0.0,0.0,0,0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,90.5,0.0,14.0,0.0,0.0,0.0,/en/matches/6f454493/Chelsea-Crystal-Palace-August-14-2021-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-22,Sun,Premier League,Matchweek 2,Away,W 2–0,Chelsea,Arsenal,Y,GK,90,0,0,0,0,0.0,0.0,0,0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,43.0,88.4,0.0,30.0,0.0,0.0,0.0,/en/matches/93954213/North-West-London-Derby-Arsenal-Chelsea-August-22-2021-Premier-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-08-28,Sat,Premier League,Matchweek 3,Away,D 1–1,Chelsea,Liverpool,Y,GK,90,0,0,0,0,0.0,0.0,1,0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,43.0,72.1,0.0,16.0,0.0,0.0,0.0,/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League,0.5,0.8333333333333334,0.5476190476190477
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-01,Wed,WCQ,Second round,Home,W 2–0,sn Senegal,tg Togo,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/cf33f3f8/Senegal-Togo-September-1-2021-WCQ----CAF-M,1.0,0.8333333333333334,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-07,Tue,WCQ,Second round,Away,W 3–1,sn Senegal,cg Congo,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/3634ff51/Congo-Senegal-September-7-2021-WCQ----CAF-M,1.0,0.8333333333333334,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-09-11,Sat,Premier League,Matchweek 4,Home,W 3–0,Chelsea,Aston Villa,Y,GK,90,0,0,0,0,0.0,0.0,0,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,36.0,86.1,0.0,24.0,0.0,0.0,0.0,/en/matches/67bbc3a5/Chelsea-Aston-Villa-September-11-2021-Premier-League,1.0,0.8333333333333334,0.6071428571428571
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-09-14,Tue,Champions Lg,Group stage,Home,W 1–0,eng Chelsea,ru Zenit,Y,GK,90,0,0,0,0,0.0,0.0,0,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,100.0,0.0,11.0,0.0,0.0,0.0,/en/matches/97ff5d03/Chelsea-Zenit-September-14-2021-Champions-League,1.0,1.0,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-09-25,Sat,Premier League,Matchweek 6,Home,L 0–1,Chelsea,Manchester City,Y,GK,90,0,0,0,0,0.0,0.0,0,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,35.0,88.6,0.0,20.0,0.0,0.0,0.0,/en/matches/fc59faf7/Chelsea-Manchester-City-September-25-2021-Premier-League,0.0,1.0,0.8452380952380955
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-09-29,Wed,Champions Lg,Group stage,Away,L 0–1,eng Chelsea,it Juventus,Y,GK,90,0,0,0,0,0.0,0.0,0,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,85.0,0.0,12.0,0.0,0.0,0.0,/en/matches/8d8d9475/Juventus-Chelsea-September-29-2021-Champions-League,0.0,0.6666666666666666,0.5
