,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
0,2021-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2021-08-22,Sun,Matchweek 12,Home,W 2–1,Tottenham,Leeds United,N,WB,12,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,/en/matches/a74a684e/Tottenham-Hotspur-Leeds-United-November-21-2021-Premier-League
2,2021-08-22,Thu,Matchweek 14,Home,W 2–0,Tottenham,Brentford,N,"On matchday squad, but did not play",/en/matches/a80b3790/Tottenham-Hotspur-Brentford-December-2-2021-Premier-League,,,,,,,,,,,,,,,,,
3,2021-08-22,Sun,Matchweek 15,Home,W 3–0,Tottenham,Norwich City,N,WB,69,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,3,0,/en/matches/78e62deb/Tottenham-Hotspur-Norwich-City-December-5-2021-Premier-League
4,2021-08-22,Sun,Matchweek 18,Home,D 2–2,Tottenham,Liverpool,Y,LB,85,6,5,3,2,1,0,0,,0,1,1,0,1,7,0,0,/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
5,2021-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-08-22,Wed,Matchweek 17,Away,W 3–2,Tottenham,Leicester City,N,"On matchday squad, but did not play",/en/matches/77d28549/Leicester-City-Tottenham-Hotspur-January-19-2022-Premier-League,,,,,,,,,,,,,,,,,
7,2021-08-22,Sun,Matchweek 23,Away,L 0–2,Tottenham,Chelsea,Y,LM,55,1,1,1,0,0,0,0,,0,2,0,2,1,2,3,0,/en/matches/29e164e3/Chelsea-Tottenham-Hotspur-January-23-2022-Premier-League
8,2021-08-22,Wed,Matchweek 24,Home,L 2–3,Tottenham,Southampton,N,"On matchday squad, but did not play",/en/matches/0613df22/Tottenham-Hotspur-Southampton-February-9-2022-Premier-League,,,,,,,,,,,,,,,,,
9,2021-08-22,Sun,Matchweek 25,Home,L 0–2,Tottenham,Wolves,Y,WB,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,/en/matches/fe93b491/Tottenham-Hotspur-Wolverhampton-Wanderers-February-13-2022-Premier-League
10,2021-08-22,Sat,Matchweek 26,Away,W 3–2,Tottenham,Manchester City,Y,WB,89,2,2,2,0,0,2,4,50.0,2,2,0,2,0,2,2,0,/en/matches/cd797899/Manchester-City-Tottenham-Hotspur-February-19-2022-Premier-League
11,2021-08-22,Wed,Matchweek 13,Away,L 0–1,Tottenham,Burnley,Y,WB,78,2,1,1,0,1,1,1,100.0,0,0,0,0,1,3,2,0,/en/matches/f8d646cb/Burnley-Tottenham-Hotspur-February-23-2022-Premier-League
12,2021-08-22,Sat,Matchweek 27,Away,W 4–0,Tottenham,Leeds United,Y,WB,77,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,0,0,/en/matches/05d37de9/Leeds-United-Tottenham-Hotspur-February-26-2022-Premier-League
13,2021-08-22,Mon,Matchweek 28,Home,W 5–0,Tottenham,Everton,Y,WB,45,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,1,0,/en/matches/6e11eac6/Tottenham-Hotspur-Everton-March-7-2022-Premier-League
14,2021-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2021-08-22,Sat,Matchweek 32,Away,W 4–0,Tottenham,Aston Villa,N,"On matchday squad, but did not play",/en/matches/811d471f/Aston-Villa-Tottenham-Hotspur-April-9-2022-Premier-League,,,,,,,,,,,,,,,,,
16,2021-08-22,Sat,Matchweek 33,Home,L 0–1,Tottenham,Brighton,N,"On matchday squad, but did not play",/en/matches/0b266073/Tottenham-Hotspur-Brighton-and-Hove-Albion-April-16-2022-Premier-League,,,,,,,,,,,,,,,,,
17,2021-08-22,Sat,Matchweek 34,Away,D 0–0,Tottenham,Brentford,Y,LM,73,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,6,0,/en/matches/9c939b7f/Brentford-Tottenham-Hotspur-April-23-2022-Premier-League
18,2021-08-22,Sun,Matchweek 35,Home,W 3–1,Tottenham,Leicester City,Y,LM,90,3,2,1,1,1,2,4,50.0,2,4,0,4,1,4,3,0,/en/matches/26ff83e6/Tottenham-Hotspur-Leicester-City-May-1-2022-Premier-League
19,2021-08-22,Sat,Matchweek 36,Away,D 1–1,Tottenham,Liverpool,Y,LM,77,5,4,2,3,0,0,1,0.0,1,2,1,1,0,5,3,0,/en/matches/9a93e9b2/Liverpool-Tottenham-Hotspur-May-7-2022-Premier-League
20,2021-08-22,Thu,Matchweek 22,Home,W 3–0,Tottenham,Arsenal,Y,WB,90,2,0,1,1,0,2,3,66.7,1,1,0,1,0,2,1,0,/en/matches/607d0562/North-London-Derby-Tottenham-Hotspur-Arsenal-May-12-2022-Premier-League
21,2021-08-22,Sun,Matchweek 37,Home,W 1–0,Tottenham,Burnley,Y,WB,90,2,2,1,0,1,2,3,66.7,1,0,0,0,0,2,2,0,/en/matches/1d0f7282/Tottenham-Hotspur-Burnley-May-15-2022-Premier-League
22,2021-08-22,Sun,Matchweek 38,Away,W 5–0,Tottenham,Norwich City,Y,WB,90,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,/en/matches/771ecae9/Norwich-City-Tottenham-Hotspur-May-22-2022-Premier-League
