,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2021-08-14,Sat,Matchweek 3,Away,D 2–2,Southampton,Newcastle Utd,N,"On matchday squad, but did not play",/en/matches/d81af076/Newcastle-United-Southampton-August-28-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
1,2021-08-14,Sat,Matchweek 4,Home,D 0–0,Southampton,West Ham,Y,LB,90,24,41,58.5,294,117,17,22,77.3,6,12,50.0,1,4,25.0,0,0.0,0.0,1,3,1,1,1,/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
2,2021-08-14,Sat,Matchweek 5,Away,D 0–0,Southampton,Manchester City,N,LB,5,1,3,33.3,15,16,0,1,0.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,/en/matches/1576c578/Manchester-City-Southampton-September-18-2021-Premier-League
3,2021-08-14,Sun,Matchweek 6,Home,L 0–1,Southampton,Wolves,N,"On matchday squad, but did not play",/en/matches/d99f984c/Southampton-Wolverhampton-Wanderers-September-26-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
4,2021-08-14,Sat,Matchweek 7,Away,L 1–3,Southampton,Chelsea,N,"On matchday squad, but did not play",/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
5,2021-08-14,Sat,Matchweek 8,Home,W 1–0,Southampton,Leeds United,Y,LB,90,22,33,66.7,341,150,9,11,81.8,12,16,75.0,0,2,0.0,0,0.0,0.1,0,0,1,1,1,/en/matches/8bde822c/Southampton-Leeds-United-October-16-2021-Premier-League
6,2021-08-14,Sat,Matchweek 9,Home,D 2–2,Southampton,Burnley,Y,LB,90,25,38,65.8,261,79,19,24,79.2,4,8,50.0,0,1,0.0,0,0.1,0.0,1,0,1,0,4,/en/matches/d5164fbe/Southampton-Burnley-October-23-2021-Premier-League
7,2021-08-14,Sat,Matchweek 10,Away,W 1–0,Southampton,Watford,N,"On matchday squad, but did not play",/en/matches/e3521093/Watford-Southampton-October-30-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
8,2021-08-14,Fri,Matchweek 11,Home,W 1–0,Southampton,Aston Villa,N,"On matchday squad, but did not play",/en/matches/868bd31f/Southampton-Aston-Villa-November-5-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
9,2021-08-14,Sat,Matchweek 12,Away,L 1–2,Southampton,Norwich City,N,"On matchday squad, but did not play",/en/matches/4bddaba4/Norwich-City-Southampton-November-20-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
