,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2023-08-13,Sun,Premier League,Matchweek 1,Home,D 2–2,Brentford,Tottenham,Y,CB,83,0,0,0,0,0.0,0.0,0,0,35.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,19.0,25.0,76.0,1.0,9.0,0.0,0.0,0.0,/en/matches/67ed3ba2/Brentford-Tottenham-Hotspur-August-13-2023-Premier-League,0.5,0.5
1,1,2023-08-19,Sat,Premier League,Matchweek 2,Away,W 3–0,Brentford,Fulham,N,RB,2,0,1,0,0,1.0,0.0,0,0,8.0,0.0,0.0,0.0,0.1,0.1,1.0,2.0,1.0,6.0,7.0,85.7,1.0,7.0,1.0,0.0,0.0,/en/matches/46be83af/Fulham-Brentford-August-19-2023-Premier-League,1.0,0.5
2,2,2023-08-29,Tue,EFL Cup,Second round,Away,D 1 (3)–1 (0),Brentford,Newport County,Y,LB,120,0,0,0,0,1.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/a56e715b/Newport-County-Brentford-August-29-2023-EFL-Cup,0.5,0.5
3,3,2023-09-02,Sat,Premier League,Matchweek 4,Home,D 2–2,Brentford,Bournemouth,N,RB,10,0,0,0,0,1.0,1.0,0,0,17.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,12.0,13.0,92.3,3.0,6.0,1.0,0.0,0.0,/en/matches/e2946b10/Brentford-Bournemouth-September-2-2023-Premier-League,0.5,0.6666666666666666
4,4,2023-09-07,Thu,Friendlies (M),Friendlies (M),Home,W 6–0,no Norway,jo Jordan,Y,CB,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/29f3e91c/Norway-Jordan-September-7-2023-Friendlies-M,1.0,0.6666666666666666
5,5,2023-09-12,Tue,Euro Qualifying,Group stage,Home,W 2–1,no Norway,ge Georgia,Y,RB,90,0,0,0,0,1.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/079f2ab1/Norway-Georgia-September-12-2023-Euro-Qualifying,1.0,0.6666666666666666
6,6,2023-09-23,Sat,Premier League,Matchweek 6,Home,L 1–3,Brentford,Everton,N,CB,30,0,0,0,0,1.0,0.0,0,0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,37.0,89.2,1.0,29.0,0.0,1.0,1.0,/en/matches/96681b93/Brentford-Everton-September-23-2023-Premier-League,0.0,0.8333333333333334
7,7,2023-09-27,Wed,EFL Cup,Third round,Home,L 0–1,Brentford,Arsenal,N,,9,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/80d68b2d/Brentford-Arsenal-September-27-2023-EFL-Cup,0.0,0.6666666666666666
8,8,2023-10-01,Sun,Premier League,Matchweek 7,Away,D 1–1,Brentford,Nott'ham Forest,Y,"RB,CB",88,0,0,0,0,1.0,0.0,0,0,74.0,2.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,51.0,66.0,77.3,3.0,53.0,4.0,0.0,0.0,/en/matches/923467c5/Nottingham-Forest-Brentford-October-1-2023-Premier-League,0.5,0.3333333333333333
9,9,2023-10-07,Sat,Premier League,Matchweek 8,Away,L 1–2,Brentford,Manchester Utd,Y,CB,90,0,0,0,0,0.0,0.0,0,0,47.0,3.0,0.0,1.0,0.0,0.0,0.2,1.0,0.0,19.0,35.0,54.3,1.0,15.0,0.0,1.0,1.0,/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,0.0,0.16666666666666666
10,10,2023-10-12,Thu,Euro Qualifying,Group stage,Away,W 4–0,no Norway,cy Cyprus,Y,CB,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/72156869/Cyprus-Norway-October-12-2023-Euro-Qualifying,1.0,0.16666666666666666
11,11,2023-10-15,Sun,Euro Qualifying,Group stage,Home,L 0–1,no Norway,es Spain,N,,14,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/9d087fa7/Norway-Spain-October-15-2023-Euro-Qualifying,0.0,0.5
