,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2021-08-14,Sat,Premier League,Matchweek 1,Home,W 5–1,Manchester Utd,Leeds United,Y,RW,74,0,0,0,0,3,1,0,0,34,2,0,2,0.2,0.2,0.0,2,0,13,19,68.4,2,16,2,1,0,/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League
1,2021-08-29,Sun,Premier League,Matchweek 3,Away,W 1–0,Manchester Utd,Wolves,Y,RW,52,0,0,0,0,1,0,0,0,18,0,0,0,0.0,0.0,0.3,1,0,7,15,46.7,1,10,3,0,0,/en/matches/871109e6/Wolverhampton-Wanderers-Manchester-United-August-29-2021-Premier-League
2,2021-09-05,Sun,WCQ,First round,Away,W 3–2,wls Wales,by Belarus,Y,FW,90,0,1,0,0,2,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/16d6f53a/Belarus-Wales-September-5-2021-WCQ----UEFA-M
3,2021-09-08,Wed,WCQ,First round,Home,D 0–0,wls Wales,ee Estonia,Y,FW,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/28b49512/Wales-Estonia-September-8-2021-WCQ----UEFA-M
4,2021-09-12,Sun,Premier League,Matchweek 4,Home,L 0–3,Leeds United,Liverpool,N,LM,23,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,12,2,1,0,/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
5,2021-09-17,Fri,Premier League,Matchweek 5,Away,D 1–1,Leeds United,Newcastle Utd,Y,LM,60,0,0,0,0,2,0,0,0,27,2,1,0,0.2,0.2,0.1,1,0,10,16,62.5,1,14,0,4,2,/en/matches/aad7d38a/Newcastle-United-Leeds-United-September-17-2021-Premier-League
6,2021-09-21,Tue,EFL Cup,Third round,Away,D 0 (6)–0 (5),Leeds United,Fulham,Y,AM,120,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/f0825c2c/Fulham-Leeds-United-September-21-2021-EFL-Cup
7,2021-09-25,Sat,Premier League,Matchweek 6,Home,L 1–2,Leeds United,West Ham,Y,LM,45,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,4,5,80.0,1,6,1,0,0,/en/matches/6e228b2c/Leeds-United-West-Ham-United-September-25-2021-Premier-League
8,2021-10-02,Sat,Premier League,Matchweek 7,Home,W 1–0,Leeds United,Watford,Y,LM,90,0,0,0,0,2,0,0,0,30,0,0,1,0.1,0.1,0.0,3,0,9,20,45.0,3,21,3,4,0,/en/matches/be9d8a45/Leeds-United-Watford-October-2-2021-Premier-League
9,2021-10-08,Fri,WCQ,First round,Away,D 2–2,wls Wales,cz Czech Republic,Y,FW,90,1,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/3f2e2218/Czech-Republic-Wales-October-8-2021-WCQ----UEFA-M
